target,source_boards,shots_per_conc,repeat,method,n_adapt,n_holdout,rmse,highconc_rmse
B1,B2+B3+B4+B5,0,0,no_adaptation,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,0,0,mean_std_alignment,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,0,0,linear_recalibration,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,0,0,residual_ridge,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,0,0,rf_retraining,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,0,0,rf_weighted_retraining,0,160,15.380743972781355,21.0232541139964
B1,B2+B3+B4+B5,1,0,no_adaptation,10,150,15.046531992455936,20.646226451016823
B1,B2+B3+B4+B5,1,0,mean_std_alignment,10,150,17.81074263128561,14.597823194755069
B1,B2+B3+B4+B5,1,0,linear_recalibration,10,150,14.873359862405263,13.050637071302624
B1,B2+B3+B4+B5,1,0,residual_ridge,10,150,23.57802817892291,21.11801504800974
B1,B2+B3+B4+B5,1,0,rf_retraining,10,150,30.609699503649228,30.462980974890545
B1,B2+B3+B4+B5,1,0,rf_weighted_retraining,10,150,18.07012062104897,23.487900746586135
B1,B2+B3+B4+B5,1,1,no_adaptation,10,150,15.43466741894147,21.08834755920382
B1,B2+B3+B4+B5,1,1,mean_std_alignment,10,150,15.726982261158263,13.766717304275767
B1,B2+B3+B4+B5,1,1,linear_recalibration,10,150,14.917903335799165,14.282428345727443
B1,B2+B3+B4+B5,1,1,residual_ridge,10,150,23.367558194781417,22.958220582407165
B1,B2+B3+B4+B5,1,1,rf_retraining,10,150,30.039307581900086,30.079698662136533
B1,B2+B3+B4+B5,1,1,rf_weighted_retraining,10,150,19.49849946743291,18.31209207189017
B1,B2+B3+B4+B5,1,2,no_adaptation,10,150,15.546834484871832,21.31887530908806
B1,B2+B3+B4+B5,1,2,mean_std_alignment,10,150,14.633982829292083,17.008425150387264
B1,B2+B3+B4+B5,1,2,linear_recalibration,10,150,15.026026556294301,18.356305074452226
B1,B2+B3+B4+B5,1,2,residual_ridge,10,150,24.69366648833033,33.21762447347777
B1,B2+B3+B4+B5,1,2,rf_retraining,10,150,26.982381082641485,36.246847457638076
B1,B2+B3+B4+B5,1,2,rf_weighted_retraining,10,150,18.083479262084,17.70023017217991
B1,B2+B3+B4+B5,1,3,no_adaptation,10,150,15.498595366462515,21.105217561857383
B1,B2+B3+B4+B5,1,3,mean_std_alignment,10,150,17.646784706411523,14.476822927184436
B1,B2+B3+B4+B5,1,3,linear_recalibration,10,150,17.06478041532085,14.17140657460956
B1,B2+B3+B4+B5,1,3,residual_ridge,10,150,16.682499703010173,12.499676239758704
B1,B2+B3+B4+B5,1,3,rf_retraining,10,150,28.273046973843925,36.61676739310814
B1,B2+B3+B4+B5,1,3,rf_weighted_retraining,10,150,17.5024813055707,17.872024486869396
B1,B2+B3+B4+B5,1,4,no_adaptation,10,150,15.42319681518718,20.87455921024974
B1,B2+B3+B4+B5,1,4,mean_std_alignment,10,150,15.790924722939836,12.97677924368791
B1,B2+B3+B4+B5,1,4,linear_recalibration,10,150,15.180983733388219,13.343007870836669
B1,B2+B3+B4+B5,1,4,residual_ridge,10,150,23.11449644071316,30.434789931203085
B1,B2+B3+B4+B5,1,4,rf_retraining,10,150,27.902545350505875,37.60749203004799
B1,B2+B3+B4+B5,1,4,rf_weighted_retraining,10,150,15.05079055386448,20.41457661259731
B1,B2+B3+B4+B5,2,0,no_adaptation,20,140,15.476537541895935,21.32889765083981
B1,B2+B3+B4+B5,2,0,mean_std_alignment,20,140,15.9246284749412,14.510629712503915
B1,B2+B3+B4+B5,2,0,linear_recalibration,20,140,14.98488575158337,15.159197094247375
B1,B2+B3+B4+B5,2,0,residual_ridge,20,140,18.910717378651846,16.921140887613795
B1,B2+B3+B4+B5,2,0,rf_retraining,20,140,27.871754918236174,34.345390085218426
B1,B2+B3+B4+B5,2,0,rf_weighted_retraining,20,140,15.81022122672846,20.71418308677368
B1,B2+B3+B4+B5,2,1,no_adaptation,20,140,15.015642885004956,20.80670321818245
B1,B2+B3+B4+B5,2,1,mean_std_alignment,20,140,15.880472531481995,16.25570135421569
B1,B2+B3+B4+B5,2,1,linear_recalibration,20,140,14.335140077146013,18.067845409328353
B1,B2+B3+B4+B5,2,1,residual_ridge,20,140,19.383183428681168,18.37369057942351
B1,B2+B3+B4+B5,2,1,rf_retraining,20,140,26.651692224185286,32.55224738053902
B1,B2+B3+B4+B5,2,1,rf_weighted_retraining,20,140,16.741871991440437,24.00217692948907
B1,B2+B3+B4+B5,2,2,no_adaptation,20,140,15.249571861671583,20.428655979262256
B1,B2+B3+B4+B5,2,2,mean_std_alignment,20,140,15.450710095000348,13.249982992239293
B1,B2+B3+B4+B5,2,2,linear_recalibration,20,140,14.462544000874361,14.364720492079579
B1,B2+B3+B4+B5,2,2,residual_ridge,20,140,18.65697483373417,18.651715384347238
