target,source_boards,shots_per_conc,repeat,method,n_adapt,n_holdout,rmse,highconc_rmse
B5,B1+B2+B3+B4,0,0,no_adaptation,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,0,0,mean_std_alignment,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,0,0,linear_recalibration,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,0,0,residual_ridge,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,0,0,rf_retraining,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,0,0,rf_weighted_retraining,0,80,24.395424135480816,33.59944234718289
B5,B1+B2+B3+B4,1,0,no_adaptation,10,70,23.451093676902516,31.216851466414585
B5,B1+B2+B3+B4,1,0,mean_std_alignment,10,70,27.57909373225739,25.749456485604863
B5,B1+B2+B3+B4,1,0,linear_recalibration,10,70,25.046679641894197,28.231177743892236
B5,B1+B2+B3+B4,1,0,residual_ridge,10,70,89.84186936461823,109.0591358837244
B5,B1+B2+B3+B4,1,0,rf_retraining,10,70,29.157005202540134,34.49169825736693
B5,B1+B2+B3+B4,1,0,rf_weighted_retraining,10,70,21.51776674551255,25.858282882875145
B5,B1+B2+B3+B4,1,1,no_adaptation,10,70,23.11525856596522,31.82939080547441
B5,B1+B2+B3+B4,1,1,mean_std_alignment,10,70,23.89291680951265,27.802633242761008
B5,B1+B2+B3+B4,1,1,linear_recalibration,10,70,26.279621911142293,32.96194352722051
B5,B1+B2+B3+B4,1,1,residual_ridge,10,70,54.63767016128478,62.6484683981732
B5,B1+B2+B3+B4,1,1,rf_retraining,10,70,27.57543046045456,31.5577491971708
B5,B1+B2+B3+B4,1,1,rf_weighted_retraining,10,70,22.69744933575591,27.56728181114392
B5,B1+B2+B3+B4,1,2,no_adaptation,10,70,24.28077943559473,33.96661088130379
B5,B1+B2+B3+B4,1,2,mean_std_alignment,10,70,27.976216193841378,35.14373059147706
B5,B1+B2+B3+B4,1,2,linear_recalibration,10,70,24.03432857380114,31.94944472547148
B5,B1+B2+B3+B4,1,2,residual_ridge,10,70,43.809913710379554,46.18754157384691
B5,B1+B2+B3+B4,1,2,rf_retraining,10,70,29.97054109176765,34.9246164757587
B5,B1+B2+B3+B4,1,2,rf_weighted_retraining,10,70,22.800880656899174,30.00507011830222
B5,B1+B2+B3+B4,1,3,no_adaptation,10,70,23.594065158727645,33.82691852159559
B5,B1+B2+B3+B4,1,3,mean_std_alignment,10,70,25.88182987055387,35.4948248151177
B5,B1+B2+B3+B4,1,3,linear_recalibration,10,70,25.17337842494124,33.48871058018558
