task,model,feature_set,split,MAE,RMSE,R2,accuracy,balanced_accuracy
regression,LinearRegression,raw,validation_B4,240.01598155656376,242.03727322566922,-70.00853530971789,,
regression,LinearRegression,raw,test_B5,274.41752604055966,341.82598234165016,-140.63030570161712,,
regression,RandomForestRegressor,raw,validation_B4,4.414111111111118,5.069588869560772,0.9688475984165158,,
regression,RandomForestRegressor,raw,test_B5,6.248075396825399,11.766651772389022,0.8321768558391931,,
regression,XGBRegressor,raw,validation_B4,5.9023895263671875,6.749273755599734,0.9447845816612244,,
regression,XGBRegressor,raw,test_B5,4.980887413024902,8.091797110713852,0.9206337332725525,,
regression,LinearRegression,physics,validation_B4,35.1841357237745,38.256671471025086,-0.7740277721720541,,
regression,LinearRegression,physics,test_B5,176.34818835576624,206.42321602479825,-50.649144380630936,,
regression,RandomForestRegressor,physics,validation_B4,3.4777698412698435,4.970322396395619,0.9700556306374402,,
regression,RandomForestRegressor,physics,test_B5,3.4796904761904757,6.044794060902747,0.9557096542560908,,
regression,XGBRegressor,physics,validation_B4,3.928345203399658,5.232035464222022,0.966819167137146,,
regression,XGBRegressor,physics,test_B5,3.618255615234375,5.937488435432817,0.9572681784629822,,
regression,LinearRegression,combined,validation_B4,145.59311801154894,154.41271752773258,-27.90095434460525,,
regression,LinearRegression,combined,test_B5,364.7228598932278,441.21093954013764,-234.9601129332012,,
regression,RandomForestRegressor,combined,validation_B4,3.6195396825396875,5.094013029864113,0.9685467045473632,,
regression,RandomForestRegressor,combined,test_B5,3.7833015873015894,6.789137765663544,0.9441304344228376,,
regression,XGBRegressor,combined,validation_B4,4.065826892852783,5.296354465170126,0.9659983515739441,,
regression,XGBRegressor,combined,test_B5,3.7237887382507324,6.081604106508478,0.955168604850769,,
classification,LogisticRegression,raw,validation_B4,,,,0.3,0.3
classification,LogisticRegression,raw,test_B5,,,,0.1,0.1
classification,RandomForestClassifier,raw,validation_B4,,,,0.85,0.85
classification,RandomForestClassifier,raw,test_B5,,,,0.7,0.7
classification,LogisticRegression,physics,validation_B4,,,,0.3,0.3
classification,LogisticRegression,physics,test_B5,,,,0.2,0.2
classification,RandomForestClassifier,physics,validation_B4,,,,0.65,0.65
classification,RandomForestClassifier,physics,test_B5,,,,0.85,0.85
classification,LogisticRegression,combined,validation_B4,,,,0.3,0.3
classification,LogisticRegression,combined,test_B5,,,,0.15,0.15
classification,RandomForestClassifier,combined,validation_B4,,,,0.9,0.9
classification,RandomForestClassifier,combined,test_B5,,,,0.8,0.8
