task,model,feature_set,split,accuracy,balanced_accuracy
classification,LogisticRegression,raw,validation_B4,0.3,0.3
classification,LogisticRegression,raw,test_B5,0.1,0.1
classification,RandomForestClassifier,raw,validation_B4,0.85,0.85
classification,RandomForestClassifier,raw,test_B5,0.7,0.7
classification,LogisticRegression,physics,validation_B4,0.3,0.3
classification,LogisticRegression,physics,test_B5,0.2,0.2
classification,RandomForestClassifier,physics,validation_B4,0.65,0.65
classification,RandomForestClassifier,physics,test_B5,0.85,0.85
classification,LogisticRegression,combined,validation_B4,0.3,0.3
classification,LogisticRegression,combined,test_B5,0.15,0.15
classification,RandomForestClassifier,combined,validation_B4,0.9,0.9
classification,RandomForestClassifier,combined,test_B5,0.8,0.8
