feature,importance
feature_82,0.18263784935596242
feature_83,0.1713255447131259
feature_94,0.12691098633578263
feature_127,0.11544423402193905
feature_126,0.11466193188282059
feature_93,0.1092392342711592
feature_149,0.060980470014251824
feature_148,0.03565161152078518
feature_81,0.01398390194221864
feature_138,0.00728892262983091
feature_2,0.007123360201592022
feature_137,0.007087817578961856
feature_104,0.004991685962023297
feature_5,0.00465971386952809
feature_105,0.004284675919336502
feature_65,0.0023748362237685275
feature_55,0.002066462436111184
feature_12,0.0013856620858514151
feature_52,0.001299110582341243
feature_147,0.0011585552612447363
feature_25,0.0011012030681924216
feature_136,0.0010942121599191428
feature_15,0.0010402070953955428
feature_103,0.0009347007056829773
feature_130,0.0008432104050163211
feature_92,0.0008027027759015649
feature_86,0.0007322753751131726
feature_61,0.0006822629379311414
feature_125,0.0006397876028301249
feature_162,0.0006248125427907752
feature_115,0.0006179075779061971
feature_116,0.0005969996022622943
feature_22,0.0005317584427843291
feature_164,0.0005233369743843498
feature_152,0.00048487550289992093
feature_62,0.0004806913027441809
feature_21,0.000464392376959378
feature_110,0.00045862106975295047
feature_11,0.00045084206447045894
feature_95,0.00043808771915617307
feature_98,0.00039745066311345703
feature_71,0.00036982681462865936
feature_139,0.0003280723645464043
feature_42,0.0003277538520560714
feature_131,0.00032530482748557426
feature_109,0.00031748833957356165
feature_166,0.00029713207899900436
feature_163,0.0002966496821725279
feature_120,0.00028948716391933346
feature_133,0.0002668989619603783
feature_99,0.00026186756336964086
feature_161,0.00026041840295726787
feature_41,0.00024009127687103982
feature_85,0.00022471598843993548
feature_108,0.00020836595230178134
feature_89,0.00020082660193838963
feature_141,0.00018653196718982222
feature_45,0.00018464388258211952
feature_107,0.00018422470102319146
feature_96,0.0001813808763635031
feature_160,0.00016652681310984097
feature_87,0.0001659590997685649
feature_70,0.00016470557460809514
feature_159,0.0001540909634812752
feature_124,0.00015324794984925816
feature_97,0.00014319348946489828
feature_88,0.00014130807051764913
feature_129,0.0001390832659447629
feature_119,0.00013343882763120572
feature_18,0.00013010907646642352
feature_117,0.00012693031543977004
feature_1,0.00012407033629950172
feature_49,0.0001220226866673589
feature_142,0.00011910466181591203
feature_121,0.00011752417385817121
feature_150,0.00011300223355350947
feature_72,0.00011100682136876845
feature_122,0.00010731104806314514
feature_153,0.00010677616537764204
feature_134,0.00010472885707833885
feature_44,0.00010435255198851485
feature_51,0.0001021227536038423
feature_100,0.00010162398452628932
feature_75,9.495055459100976e-05
feature_84,9.290621657951903e-05
feature_118,9.190299234944613e-05
feature_156,8.782087439834608e-05
feature_144,8.673424030181087e-05
feature_78,8.531768228166768e-05
feature_91,8.118672851683688e-05
feature_140,7.915257214433688e-05
feature_155,7.89821442413178e-05
feature_128,7.805193155096709e-05
feature_31,7.714491454032238e-05
feature_90,7.483656967206687e-05
feature_10,7.237544793975209e-05
feature_73,7.071761444951934e-05
feature_77,6.922888881246476e-05
feature_106,6.563682391237263e-05
feature_19,6.527877778619237e-05
feature_79,6.476302036550716e-05
feature_146,6.327136685346148e-05
feature_17,6.30154758324017e-05
feature_14,6.285930252912018e-05
feature_46,6.267506050941763e-05
feature_112,6.157632476477987e-05
feature_165,6.128917048433044e-05
feature_158,6.122238503041997e-05
feature_23,5.997902985509492e-05
feature_157,5.7737855073778405e-05
feature_145,5.771977328364827e-05
feature_32,5.744324226437923e-05
feature_16,5.7214609624094456e-05
feature_9,5.29996036102014e-05
feature_6,5.0235363740475846e-05
feature_48,4.998246790899535e-05
feature_50,4.927239064080909e-05
feature_43,4.7349731953635916e-05
feature_111,4.6685735085421275e-05
feature_58,4.598829676828209e-05
feature_76,4.452470683258364e-05
feature_132,4.4180690561134765e-05
feature_167,4.386365529132258e-05
feature_29,4.079384932871684e-05
feature_154,4.0195570392169624e-05
feature_28,4.010807404693429e-05
feature_40,3.864326274501488e-05
feature_35,3.6760459136522246e-05
feature_67,3.629235506144798e-05
feature_68,3.606960149458912e-05
feature_114,3.5147902785296566e-05
feature_151,3.3983698443319785e-05
feature_74,3.369894289653822e-05
feature_54,3.2181335954455386e-05
feature_33,3.0792456271243836e-05
feature_69,2.8646607453739155e-05
feature_7,2.8380383762180822e-05
feature_135,2.7565548603188608e-05
feature_53,2.4672909249097946e-05
feature_30,2.458501351366098e-05
feature_80,2.3559308719975398e-05
feature_38,2.3479733062656283e-05
feature_20,2.3021699119676405e-05
feature_4,2.1203107484732486e-05
feature_143,2.0823594870556874e-05
feature_13,2.075041223612066e-05
feature_59,2.073928748851157e-05
feature_26,1.860725359700333e-05
feature_34,1.8365029092496422e-05
feature_37,1.7063834486183082e-05
feature_113,1.69864011661215e-05
feature_64,1.623107380547639e-05
feature_57,1.6163131158945793e-05
feature_24,1.4939540267321033e-05
feature_3,1.3989900565803544e-05
feature_101,1.3679618628551523e-05
feature_47,1.3099362099142733e-05
feature_0,1.2341138152912151e-05
feature_102,1.2003918797813783e-05
feature_36,1.1195998486150834e-05
feature_27,1.1104362582262926e-05
feature_60,1.0784196997214072e-05
feature_123,9.852626981112348e-06
feature_39,9.581196834753722e-06
feature_8,6.710935054464221e-06
feature_63,6.6193141642802625e-06
feature_56,5.763423012195402e-06
feature_66,3.922604315297731e-06
