target_board,source_boards,source_count,y_true,mean_signed_error,median_signed_error,mae,pred_mean,n
B1,B2,1,10.0,5.543749999999999,5.5625,5.543749999999999,15.54375,4
B1,B2,1,20.0,1.5062499999999996,0.6750000000000007,1.6187500000000004,21.50625,4
B1,B2,1,30.0,-2.1374999999999993,-2.5749999999999993,2.8499999999999996,27.8625,4
B1,B2,1,40.0,-1.6937500000000005,-1.3500000000000014,4.8187500000000005,38.30625,4
B1,B2,1,50.0,-1.8187499999999996,-0.8374999999999986,6.206249999999999,48.18125,4
B1,B2,1,60.0,-1.3437499999999982,-0.9624999999999986,8.293750000000001,58.65625,4
B1,B2,1,70.0,-1.4187500000000028,1.3249999999999957,9.931249999999999,68.58125,4
B1,B2,1,80.0,0.34375,1.7250000000000014,10.693750000000001,80.34375,4
B1,B2,1,90.0,-3.1125000000000007,-2.8625000000000043,7.762499999999999,86.8875,4
B1,B2,1,100.0,-9.66875,-7.225000000000001,9.66875,90.33125,4
B1,B2+B3,2,10.0,0.5750000000000002,0.6124999999999998,0.5750000000000002,10.575,4
B1,B2+B3,2,20.0,-3.312499999999999,-2.5249999999999986,3.312499999999999,16.6875,4
B1,B2+B3,2,30.0,-5.275,-4.950000000000001,6.025,24.725,4
B1,B2+B3,2,40.0,-1.9937499999999995,-1.6750000000000007,6.91875,38.00625,4
B1,B2+B3,2,50.0,-3.28125,-1.7250000000000014,5.056249999999999,46.71875,4
B1,B2+B3,2,60.0,-5.737499999999999,-4.987499999999997,6.5375,54.2625,4
B1,B2+B3,2,70.0,-8.000000000000002,-7.375,8.799999999999999,62.0,4
B1,B2+B3,2,80.0,-8.10625,-7.899999999999999,10.381249999999998,71.89375,4
B1,B2+B3,2,90.0,-10.356250000000003,-8.837500000000006,10.556250000000006,79.64375,4
B1,B2+B3,2,100.0,-13.399999999999999,-10.450000000000003,13.399999999999999,86.6,4
B1,B2+B3+B4,3,10.0,0.45625000000000027,0.375,0.45625000000000027,10.45625,4
B1,B2+B3+B4,3,20.0,-2.387499999999999,-1.5249999999999986,2.6750000000000003,17.6125,4
B1,B2+B3+B4,3,30.0,-5.0874999999999995,-4.649999999999999,5.0874999999999995,24.9125,4
B1,B2+B3+B4,3,40.0,-4.66875,-4.162500000000001,5.968750000000001,35.33125,4
B1,B2+B3+B4,3,50.0,-6.00625,-4.162499999999998,6.94375,43.99375,4
B1,B2+B3+B4,3,60.0,-6.743749999999999,-4.787499999999998,7.418749999999999,53.25625,4
B1,B2+B3+B4,3,70.0,-7.425000000000001,-6.0,8.2625,62.575,4
B1,B2+B3+B4,3,80.0,-5.918749999999999,-4.799999999999997,11.568749999999998,74.08125,4
B1,B2+B3+B4,3,90.0,-8.89375,-7.337499999999999,10.01875,81.10625,4
B1,B2+B3+B4,3,100.0,-12.85625,-9.5,12.85625,87.14375,4
B1,B2+B3+B4+B5,4,10.0,0.5500000000000003,0.47500000000000053,0.5500000000000003,10.55,4
