target_board,source_boards,source_count,regime,mae,bias,pred_mean,n
B1,B2,1,high_>=80,9.375,-4.145833333333333,85.85416666666667,12
B1,B2,1,low_<=30,3.3375,1.6375,21.6375,12
B1,B2,1,mid_40_70,7.3125,-1.5687500000000003,53.43125,16
B1,B2+B3,2,high_>=80,11.445833333333335,-10.620833333333334,79.37916666666666,12
B1,B2+B3,2,low_<=30,3.3041666666666667,-2.670833333333333,17.329166666666666,12
B1,B2+B3,2,mid_40_70,6.828124999999999,-4.753125,50.246875,16
B1,B2+B3+B4,3,high_>=80,11.481249999999998,-9.222916666666666,80.77708333333334,12
B1,B2+B3+B4,3,low_<=30,2.7395833333333335,-2.3395833333333327,17.660416666666666,12
B1,B2+B3+B4,3,mid_40_70,7.1484375,-6.2109375,48.7890625,16
B1,B2+B3+B4+B5,4,high_>=80,11.039583333333333,-8.518749999999999,81.48125,12
B1,B2+B3+B4+B5,4,low_<=30,2.810416666666667,-1.70625,18.29375,12
B1,B2+B3+B4+B5,4,mid_40_70,6.984374999999999,-4.578125,50.421875,16
B1,B2+B3+B5,3,high_>=80,9.95625,-8.160416666666668,81.83958333333332,12
B1,B2+B3+B5,3,low_<=30,3.4708333333333337,-2.2208333333333328,17.77916666666667,12
B1,B2+B3+B5,3,mid_40_70,6.4,-2.321875,52.678125,16
B1,B2+B4,2,high_>=80,8.608333333333334,-3.741666666666665,86.25833333333333,12
B1,B2+B4,2,low_<=30,2.6291666666666664,-0.3875,19.6125,12
B1,B2+B4,2,mid_40_70,7.912499999999998,-1.7781250000000015,53.221875,16
B1,B2+B4+B5,3,high_>=80,9.160416666666666,-3.8854166666666656,86.11458333333333,12
B1,B2+B4+B5,3,low_<=30,2.4250000000000003,-1.4416666666666664,18.558333333333334,12
B1,B2+B4+B5,3,mid_40_70,7.5015625,-0.3515624999999998,54.6484375,16
B1,B2+B5,2,high_>=80,8.577083333333333,-1.6937500000000003,88.30624999999999,12
B1,B2+B5,2,low_<=30,2.841666666666667,-1.6000000000000003,18.400000000000002,12
B1,B2+B5,2,mid_40_70,7.237500000000001,0.6218749999999997,55.621875,16
B1,B3,1,high_>=80,15.697916666666666,-15.697916666666666,74.30208333333333,12
B1,B3,1,low_<=30,3.0416666666666665,-1.3916666666666666,18.608333333333334,12
B1,B3,1,mid_40_70,8.18125,-8.040625,46.959375,16
B1,B3+B4,2,high_>=80,15.745833333333332,-15.745833333333332,74.25416666666666,12
B1,B3+B4,2,low_<=30,3.4625,-2.795833333333333,17.204166666666666,12
B1,B3+B4,2,mid_40_70,10.996875,-10.996875,44.003125,16
B1,B3+B4+B5,3,high_>=80,17.504166666666666,-17.504166666666666,72.49583333333334,12
B1,B3+B4+B5,3,low_<=30,2.952083333333333,-2.4895833333333335,17.510416666666668,12
B1,B3+B4+B5,3,mid_40_70,10.0109375,-10.0109375,44.9890625,16
B1,B3+B5,2,high_>=80,16.98125,-16.98125,73.01875,12
B1,B3+B5,2,low_<=30,3.252083333333333,-2.19375,17.806250000000002,12
B1,B3+B5,2,mid_40_70,8.9796875,-8.5765625,46.4234375,16
B1,B4,1,high_>=80,24.920833333333334,-24.920833333333334,65.07916666666667,12
B1,B4,1,low_<=30,4.75,3.0916666666666663,23.09166666666667,12
B1,B4,1,mid_40_70,10.11875,-10.11875,44.88125,16
B1,B4+B5,2,high_>=80,12.510416666666666,-12.481250000000001,77.51875,12
B1,B4+B5,2,low_<=30,3.4041666666666663,-2.0291666666666663,17.970833333333335,12
B1,B4+B5,2,mid_40_70,8.3359375,-7.5953125,47.4046875,16
B1,B5,1,high_>=80,15.368749999999999,-15.368749999999999,74.63125000000001,12
B1,B5,1,low_<=30,4.358333333333333,1.645833333333333,21.645833333333332,12
B1,B5,1,mid_40_70,9.1734375,-9.0390625,45.9609375,16
B2,B1,1,high_>=80,7.081250000000002,-6.29375,83.70625,12
B2,B1,1,low_<=30,4.725,4.725,24.724999999999998,12
B2,B1,1,mid_40_70,3.2093750000000005,2.625,57.625,16
B2,B1+B3,2,high_>=80,5.385416666666668,-0.2687500000000007,89.73125,12
B2,B1+B3,2,low_<=30,3.3937500000000003,3.2604166666666665,23.260416666666668,12
B2,B1+B3,2,mid_40_70,5.0,4.965625,59.965625,16
B2,B1+B3+B4,3,high_>=80,5.268749999999998,-0.002083333333332623,89.99791666666665,12
B2,B1+B3+B4,3,low_<=30,3.94375,3.847916666666667,23.847916666666666,12
B2,B1+B3+B4,3,mid_40_70,6.5249999999999995,6.5249999999999995,61.525,16
B2,B1+B3+B4+B5,4,high_>=80,5.1312500000000005,-0.6729166666666669,89.32708333333333,12
B2,B1+B3+B4+B5,4,low_<=30,3.8375,3.775,23.775000000000002,12
B2,B1+B3+B4+B5,4,mid_40_70,6.028125,6.028125,61.028125,16
B2,B1+B3+B5,3,high_>=80,5.189583333333334,-1.6895833333333339,88.31041666666665,12
B2,B1+B3+B5,3,low_<=30,2.9375,2.8083333333333336,22.808333333333334,12
B2,B1+B3+B5,3,mid_40_70,4.3703125,4.1984375,59.1984375,16
B2,B1+B4,2,high_>=80,5.8374999999999995,-4.9624999999999995,85.03750000000001,12
B2,B1+B4,2,low_<=30,3.945833333333333,3.7833333333333328,23.78333333333333,12
B2,B1+B4,2,mid_40_70,3.9171874999999985,3.501562499999999,58.5015625,16
