source_boards,target_board,concentration_numeric,abs_error
B1+B2+B3+B4,B5,10,0.20000000000000018
B1+B2+B3+B4,B5,20,0.5374999999999996
B1+B2+B3+B4,B5,30,0.8874999999999993
B1+B2+B3+B4,B5,40,1.8625000000000007
B1+B2+B3+B4,B5,50,1.4750000000000014
B1+B2+B3+B4,B5,60,0.6374999999999993
B1+B2+B3+B4,B5,70,0.7125000000000057
B1+B2+B3+B4,B5,80,4.112499999999997
B1+B2+B3+B4,B5,90,5.262500000000003
B1+B2+B3+B4,B5,100,8.037500000000001
B1+B2+B3+B5,B4,10,2.5250000000000004
B1+B2+B3+B5,B4,20,3.4375
B1+B2+B3+B5,B4,30,3.5
B1+B2+B3+B5,B4,40,4.824999999999999
B1+B2+B3+B5,B4,50,3.724999999999998
B1+B2+B3+B5,B4,60,4.512499999999996
B1+B2+B3+B5,B4,70,4.950000000000003
B1+B2+B3+B5,B4,80,2.7875000000000014
B1+B2+B3+B5,B4,90,2.0124999999999957
B1+B2+B3+B5,B4,100,8.649999999999999
B1+B2+B4+B5,B3,10,2.4062500000000004
B1+B2+B4+B5,B3,20,6.8875
B1+B2+B4+B5,B3,30,4.9125
B1+B2+B4+B5,B3,40,3.0625
B1+B2+B4+B5,B3,50,0.7875000000000014
B1+B2+B4+B5,B3,60,4.156249999999998
B1+B2+B4+B5,B3,70,0.9125000000000014
B1+B2+B4+B5,B3,80,4.412500000000001
B1+B2+B4+B5,B3,90,7.900000000000002
B1+B2+B4+B5,B3,100,10.068750000000001
B1+B3+B4+B5,B2,10,1.9250000000000003
B1+B3+B4+B5,B2,20,4.85
B1+B3+B4+B5,B2,30,4.7375
B1+B3+B4+B5,B2,40,3.1125000000000007
B1+B3+B4+B5,B2,50,7.774999999999999
B1+B3+B4+B5,B2,60,6.256250000000001
B1+B3+B4+B5,B2,70,6.96875
B1+B3+B4+B5,B2,80,6.28125
B1+B3+B4+B5,B2,90,1.6437500000000007
B1+B3+B4+B5,B2,100,7.46875
B2+B3+B4+B5,B1,10,0.5500000000000003
B2+B3+B4+B5,B1,20,2.89375
B2+B3+B4+B5,B1,30,4.987500000000001
B2+B3+B4+B5,B1,40,6.2625
B2+B3+B4+B5,B1,50,5.456250000000001
B2+B3+B4+B5,B1,60,7.456249999999999
B2+B3+B4+B5,B1,70,8.762499999999998
B2+B3+B4+B5,B1,80,10.725000000000003
B2+B3+B4+B5,B1,90,10.131249999999998
B2+B3+B4+B5,B1,100,12.2625
