source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,source_count
B2,1,B1,physics,RandomForest,40,40,8.160621912575046,6.738749999999999,0.9192778787878788,False,1
B3,1,B1,physics,RandomForest,40,40,12.264504805535362,8.894375,0.8176750568181819,False,1
B4,1,B1,physics,RandomForest,20,40,17.059493324832363,12.94875,0.6472408333333333,False,1
B5,1,B1,physics,RandomForest,20,40,12.973677678283826,9.5875,0.7959802272727273,True,1
B2+B3,2,B1,physics,RandomForest,80,40,10.454832913538123,7.15625,0.8675108712121212,False,2
B2+B4,2,B1,physics,RandomForest,60,40,8.025198595673505,6.53625,0.9219347727272728,False,2
B2+B5,2,B1,physics,RandomForest,60,40,7.782573682593696,6.320625000000001,0.9265836931818182,True,2
B3+B4,2,B1,physics,RandomForest,60,40,13.946360412308294,10.161249999999999,0.76424125,False,2
B3+B5,2,B1,physics,RandomForest,60,40,12.979962321786608,9.661875,0.795782518939394,True,2
B4+B5,2,B1,physics,RandomForest,40,40,11.720414881735204,8.108749999999999,0.8334931818181818,True,2
B2+B3+B4,3,B1,physics,RandomForest,100,40,10.589709775296015,7.125624999999999,0.8640703598484849,False,3
B2+B3+B5,3,B1,physics,RandomForest,100,40,8.961730266806741,6.588125000000001,0.9026513825757576,True,3
B2+B4+B5,3,B1,physics,RandomForest,80,40,7.973502994293034,6.47625,0.9229372727272728,True,3
B3+B4+B5,3,B1,physics,RandomForest,80,40,13.942662720943945,10.14125,0.7643662499999999,True,3
B2+B3+B4+B5,4,B1,physics,RandomForest,120,40,9.752294601784753,6.9487499999999995,0.8847184848484848,True,4
B1,1,B2,physics,RandomForest,40,40,6.237779302363943,4.8256250000000005,0.9528364962121212,False,1
B3,1,B2,physics,RandomForest,40,40,7.762180951575401,6.038124999999999,0.9269679356060606,False,1
B4,1,B2,physics,RandomForest,20,40,11.204103600913372,8.36375,0.8478400757575758,False,1
B5,1,B2,physics,RandomForest,20,40,7.17576433211125,5.845000000000001,0.937585946969697,True,1
B1+B3,2,B2,physics,RandomForest,80,40,5.846534764285594,4.633750000000001,0.9585673106060606,False,2
B1+B4,2,B2,physics,RandomForest,60,40,5.62643731636637,4.501875,0.9616281250000001,False,2
B1+B5,2,B2,physics,RandomForest,60,40,4.451562225780968,3.22125,0.9759801136363636,True,2
B3+B4,2,B2,physics,RandomForest,60,40,7.0442707216574245,5.652500000000001,0.9398524242424242,False,2
B3+B5,2,B2,physics,RandomForest,60,40,9.110947227099935,7.078125,0.8993825946969697,True,2
B4+B5,2,B2,physics,RandomForest,40,40,5.8157987950925545,4.704375000000001,0.9590017992424242,True,2
B1+B3+B4,3,B2,physics,RandomForest,100,40,6.692701248374978,5.373749999999999,0.9457063636363636,False,3
B1+B3+B5,3,B2,physics,RandomForest,100,40,5.331058759758703,4.186249999999999,0.9655512878787879,True,3
B1+B4+B5,3,B2,physics,RandomForest,80,40,4.901417205768144,3.8468749999999994,0.9708801325757576,True,3
B3+B4+B5,3,B2,physics,RandomForest,80,40,9.314222994968501,7.138749999999999,0.8948427272727273,True,3
B1+B3+B4+B5,4,B2,physics,RandomForest,120,40,6.372039753877874,5.101875,0.950784375,True,4
B1,1,B5,physics,RandomForest,40,20,7.7936472527309055,7.287499999999999,0.9263746212121212,False,1
B2,1,B5,physics,RandomForest,40,20,5.068000098658247,4.0225,0.9688671212121212,False,1
B3,1,B5,physics,RandomForest,40,20,4.202220395219652,2.9787500000000016,0.9785955681818181,False,1
B4,1,B5,physics,RandomForest,20,20,9.522624375664515,7.402499999999999,0.890084393939394,False,1
B1+B2,2,B5,physics,RandomForest,80,20,5.039943576073049,4.49125,0.9692108712121212,False,2
B1+B3,2,B5,physics,RandomForest,80,20,3.303851918594414,2.429999999999999,0.9867691666666667,False,2
B1+B4,2,B5,physics,RandomForest,60,20,5.879245806223788,5.128750000000001,0.9581023863636363,False,2
B2+B3,2,B5,physics,RandomForest,80,20,3.3356361836986954,2.2112500000000006,0.9865133712121212,False,2
B2+B4,2,B5,physics,RandomForest,60,20,4.02181551043804,3.3649999999999993,0.9803939393939394,False,2
B3+B4,2,B5,physics,RandomForest,60,20,3.349057703295063,2.6474999999999995,0.9864046212121212,False,2
B1+B2+B3,3,B5,physics,RandomForest,120,20,3.1689755836863123,2.38375,0.9878273863636363,False,3
B1+B2+B4,3,B5,physics,RandomForest,100,20,3.894792195997112,3.076250000000001,0.981612840909091,False,3
B1+B3+B4,3,B5,physics,RandomForest,100,20,3.224951550023659,2.2649999999999997,0.9873935606060606,False,3
B2+B3+B4,3,B5,physics,RandomForest,100,20,4.338137561212185,3.275,0.9771885606060606,False,3
B1+B2+B3+B4,4,B5,physics,RandomForest,140,20,3.5204314366281877,2.372500000000001,0.9849776515151515,False,4
