target_board,metric,method,n,corr,ci95_low,ci95_high,abs_corr
B1,centroid_dist_full,pearson,15,0.5229483434163557,0.3598693377624031,0.8493233311861825,0.5229483434163557
B1,centroid_dist_full,spearman,15,0.6428571428571428,0.2677019374068555,0.7955503754714556,0.6428571428571428
B1,centroid_dist_pca5,pearson,15,0.3934065783195129,0.056284688762642046,0.7713836417775473,0.3934065783195129
B1,centroid_dist_pca5,spearman,15,0.4678571428571427,-0.053021317276889794,0.7500342778793421,0.4678571428571427
B1,source_trace,pearson,15,0.04942492565644479,-0.4971872962731682,0.5618661139250358,0.04942492565644479
B1,source_trace,spearman,15,-0.017857142857142853,-0.6007261190110555,0.5528081734778987,0.017857142857142853
B1,source_volume_95,pearson,15,0.048317194767144786,-0.4965113303728719,0.5673546327441574,0.048317194767144786
B1,source_volume_95,spearman,15,0.007142857142857141,-0.565217391304348,0.5628614008941878,0.007142857142857141
B1,source_intrinsic_dim_95,pearson,15,-0.30269386390885045,-0.7415778664395023,0.24178450249481573,0.30269386390885045
B1,source_intrinsic_dim_95,spearman,15,-0.2629505441849999,-0.7212388338248331,0.2535577649629508,0.2629505441849999
B1,source_top5_volume,pearson,15,0.07428766604557806,-0.47724906719927596,0.5663349186943908,0.07428766604557806
B1,source_top5_volume,spearman,15,0.024999999999999998,-0.5418336128815834,0.5709416652817021,0.024999999999999998
B1,source_effective_rank,pearson,15,-0.3590548779718241,-0.7916035594729374,0.26861517651892963,0.3590548779718241
B1,source_effective_rank,spearman,15,-0.24285714285714283,-0.7132222774234758,0.3042055172974181,0.24285714285714283
B1,high_conc_source_trace,pearson,15,0.019118462527274307,-0.5350943361581568,0.5393496833757384,0.019118462527274307
B1,high_conc_source_trace,spearman,15,-0.22142857142857136,-0.7314338223250145,0.385178859115568,0.22142857142857136
B1,high_conc_centroid_dist,pearson,15,0.40030345291722075,0.24296090162352962,0.8076866564621442,0.40030345291722075
B1,high_conc_centroid_dist,spearman,15,0.4892857142857142,-0.00555472910654247,0.7018586223902683,0.4892857142857142
B2,centroid_dist_full,pearson,15,0.2647491548493176,-0.19129277478273862,0.669350519375884,0.2647491548493176
B2,centroid_dist_full,spearman,15,0.21428571428571427,-0.289623425991922,0.6450292107145701,0.21428571428571427
B2,centroid_dist_pca5,pearson,15,0.002555788643745422,-0.3369426070278408,0.4625580447725589,0.002555788643745422
B2,centroid_dist_pca5,spearman,15,0.15357142857142855,-0.3902547726802821,0.6022268982986618,0.15357142857142855
B2,source_trace,pearson,15,-0.15710364711730457,-0.6342771755362832,0.2727489049829917,0.15710364711730457
B2,source_trace,spearman,15,-0.2928571428571428,-0.7806227615312996,0.2584920274289494,0.2928571428571428
B2,source_volume_95,pearson,15,-0.15536367465550321,-0.6322918069342076,0.27517214384082167,0.15536367465550321
B2,source_volume_95,spearman,15,-0.2714285714285714,-0.7549901719901719,0.29711876598465486,0.2714285714285714
B2,source_intrinsic_dim_95,pearson,15,-0.1233652769833681,-0.5811608518178212,0.45590629472502175,0.1233652769833681
B2,source_intrinsic_dim_95,spearman,15,-0.15820797042109447,-0.6633042276593903,0.37965207288874925,0.15820797042109447
B2,source_top5_volume,pearson,15,-0.14810959673419857,-0.6242892477489573,0.25972086864282146,0.14810959673419857
B2,source_top5_volume,spearman,15,-0.2928571428571428,-0.7806227615312996,0.2584920274289494,0.2928571428571428
B2,source_effective_rank,pearson,15,-0.3056495229052295,-0.77093472263576,0.3484709987743671,0.3056495229052295
B2,source_effective_rank,spearman,15,-0.28571428571428564,-0.7641944715901158,0.29119227133337966,0.28571428571428564
B2,high_conc_source_trace,pearson,15,-0.14326127828240928,-0.6149572131963927,0.2759116712775883,0.14326127828240928
B2,high_conc_source_trace,spearman,15,-0.2821428571428571,-0.7709298418972332,0.27711225236005865,0.2821428571428571
B2,high_conc_centroid_dist,pearson,15,0.05065138767027148,-0.4006370552636859,0.4259316213167658,0.05065138767027148
B2,high_conc_centroid_dist,spearman,15,0.04642857142857142,-0.46841872254139927,0.503669971333015,0.04642857142857142
B5,centroid_dist_full,pearson,15,0.7589969939165424,0.21617410328963166,0.9291565114860724,0.7589969939165424
B5,centroid_dist_full,spearman,15,0.4107142857142856,-0.2361805448976732,0.7935297801842577,0.4107142857142856
B5,centroid_dist_pca5,pearson,15,0.28206359173930967,-0.4394341453452387,0.8686201178136144,0.28206359173930967
B5,centroid_dist_pca5,spearman,15,0.039285714285714285,-0.5471014492753624,0.6188920342460349,0.039285714285714285
B5,source_trace,pearson,15,-0.8656164693744026,-0.9553582910512457,-0.4623248821409698,0.8656164693744026
B5,source_trace,spearman,15,-0.7249999999999999,-0.9315857846797071,-0.29090327405683897,0.7249999999999999
B5,source_volume_95,pearson,15,-0.8698908246741239,-0.9595614914699941,-0.48110904859533193,0.8698908246741239
B5,source_volume_95,spearman,15,-0.7714285714285712,-0.9403012868617806,-0.3641278776676189,0.7714285714285712
B5,source_intrinsic_dim_95,pearson,15,-0.6911626499883148,-0.8832086795291277,-0.410707072693979,0.6911626499883148
