target_board,source_boards,conc_regime,mean_abs_error,rmse,n
B1,B2,low ≤30,3.3375,4.034099445146752,12
B1,B2,mid 40–70,7.3125,8.107943635719232,16
B1,B2,high ≥80,9.375,10.865551450954218,12
B1,B2+B3,low ≤30,3.3041666666666667,5.242882079543655,12
B1,B2+B3,mid 40–70,6.828124999999999,8.662418830788546,16
B1,B2+B3,high ≥80,11.445833333333335,15.38854416982538,12
B1,B2+B3+B4,low ≤30,2.7395833333333335,4.5905984087044684,12
B1,B2+B3+B4,mid 40–70,7.1484375,9.858742551030533,16
B1,B2+B3+B4,high ≥80,11.481250000000001,14.937866104300173,12
B1,B2+B3+B4+B5,low ≤30,2.810416666666667,4.245346717289413,12
B1,B2+B3+B4+B5,mid 40–70,6.984374999999999,8.773544216848741,16
B1,B2+B3+B4+B5,high ≥80,11.039583333333333,14.013128145302415,12
B1,B2+B3+B5,low ≤30,3.4708333333333337,5.164734181607672,12
B1,B2+B3+B5,mid 40–70,6.4,7.420284698042252,16
B1,B2+B3+B5,high ≥80,9.95625,12.946816291402818,12
B1,B2+B4,low ≤30,2.6291666666666664,3.323793640806641,12
B1,B2+B4,mid 40–70,7.912499999999998,8.820036670842134,16
B1,B2+B4,high ≥80,8.608333333333334,9.995384351456092,12
B1,B2+B4+B5,low ≤30,2.4250000000000003,3.8180901639432245,12
B1,B2+B4+B5,mid 40–70,7.5015625,7.960917719553444,16
B1,B2+B4+B5,high ≥80,9.160416666666668,10.622762019205112,12
B1,B2+B5,low ≤30,2.841666666666667,4.0935798310688085,12
B1,B2+B5,mid 40–70,7.237500000000001,7.880652733117987,16
B1,B2+B5,high ≥80,8.577083333333334,10.115888389887797,12
B1,B3,low ≤30,3.0416666666666665,4.164057516413528,12
B1,B3,mid 40–70,8.18125,10.802513451738905,16
B1,B3,high ≥80,15.697916666666666,18.123515743824832,12
B1,B3+B4,low ≤30,3.4625,4.946758197715617,12
B1,B3+B4,mid 40–70,10.996875,13.038997996395276,16
B1,B3+B4,high ≥80,15.745833333333332,19.929346556439494,12
B1,B3+B4+B5,low ≤30,2.952083333333333,4.656407995082332,12
B1,B3+B4+B5,mid 40–70,10.0109375,12.070157867132476,16
B1,B3+B4+B5,high ≥80,17.504166666666666,20.78603046519465,12
B1,B3+B5,low ≤30,3.252083333333333,4.876351308440905,12
B1,B3+B5,mid 40–70,8.9796875,10.90757513439628,16
B1,B3+B5,high ≥80,16.98125,19.472690545564916,12
B1,B4,low ≤30,4.75,5.863321726348184,12
B1,B4,mid 40–70,10.11875,12.947209520780916,16
B1,B4,high ≥80,24.920833333333334,26.687116507783305,12
B1,B4+B5,low ≤30,3.404166666666667,4.491624149458635,12
B1,B4+B5,mid 40–70,8.3359375,11.576901504180642,16
B1,B4+B5,high ≥80,12.510416666666666,16.09408373440377,12
B1,B5,low ≤30,4.358333333333333,5.359211307023949,12
B1,B5,mid 40–70,9.1734375,12.212184937082307,16
B1,B5,high ≥80,15.368749999999999,18.26152461460981,12
B2,B1,low ≤30,4.725,5.652562103447721,12
B2,B1,mid 40–70,3.2093750000000005,3.8363495832627144,16
B2,B1,high ≥80,7.081250000000002,8.838820033428295,12
B2,B1+B3,low ≤30,3.3937500000000003,4.552912300568359,12
B2,B1+B3,mid 40–70,5.0,6.279785276982008,16
B2,B1+B3,high ≥80,5.385416666666668,6.374162526690601,12
