source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B2+B3,2,B1,physics,RandomForest,80,40,10.454832913538123,7.15625,0.8675108712121212,False
B2+B4,2,B1,physics,RandomForest,60,40,8.025198595673505,6.53625,0.9219347727272728,False
B2+B5,2,B1,physics,RandomForest,60,40,7.782573682593696,6.320625000000001,0.9265836931818182,True
B3+B4,2,B1,physics,RandomForest,60,40,13.946360412308294,10.161249999999999,0.76424125,False
B3+B5,2,B1,physics,RandomForest,60,40,12.979962321786608,9.661875,0.795782518939394,True
B4+B5,2,B1,physics,RandomForest,40,40,11.720414881735204,8.108749999999999,0.8334931818181818,True
B2+B3+B4,3,B1,physics,RandomForest,100,40,10.589709775296015,7.125624999999999,0.8640703598484849,False
B2+B3+B5,3,B1,physics,RandomForest,100,40,8.961730266806741,6.588125000000001,0.9026513825757576,True
B2+B4+B5,3,B1,physics,RandomForest,80,40,7.973502994293034,6.47625,0.9229372727272728,True
B3+B4+B5,3,B1,physics,RandomForest,80,40,13.942662720943945,10.14125,0.7643662499999999,True
B2+B3+B4+B5,4,B1,physics,RandomForest,120,40,9.752294601784753,6.9487499999999995,0.8847184848484848,True
B1+B3,2,B2,physics,RandomForest,80,40,5.846534764285594,4.633750000000001,0.9585673106060606,False
B1+B4,2,B2,physics,RandomForest,60,40,5.62643731636637,4.501875,0.9616281250000001,False
B1+B5,2,B2,physics,RandomForest,60,40,4.451562225780968,3.22125,0.9759801136363636,True
B3+B4,2,B2,physics,RandomForest,60,40,7.0442707216574245,5.652500000000001,0.9398524242424242,False
B3+B5,2,B2,physics,RandomForest,60,40,9.110947227099935,7.078125,0.8993825946969697,True
B4+B5,2,B2,physics,RandomForest,40,40,5.8157987950925545,4.704375000000001,0.9590017992424242,True
B1+B3+B4,3,B2,physics,RandomForest,100,40,6.692701248374978,5.373749999999999,0.9457063636363636,False
B1+B3+B5,3,B2,physics,RandomForest,100,40,5.331058759758703,4.186249999999999,0.9655512878787879,True
B1+B4+B5,3,B2,physics,RandomForest,80,40,4.901417205768144,3.8468749999999994,0.9708801325757576,True
B3+B4+B5,3,B2,physics,RandomForest,80,40,9.314222994968501,7.138749999999999,0.8948427272727273,True
B1+B3+B4+B5,4,B2,physics,RandomForest,120,40,6.372039753877874,5.101875,0.950784375,True
B1+B2,2,B3,physics,RandomForest,80,40,7.583703745532258,6.86875,0.930287803030303,False
B1+B4,2,B3,physics,RandomForest,60,40,7.606587400076331,6.7893750000000015,0.9298664583333334,False
B1+B5,2,B3,physics,RandomForest,60,40,7.361955625036054,6.286875,0.9343049810606061,True
B2+B4,2,B3,physics,RandomForest,60,40,5.213259836704861,4.463125,0.967056875,False
B2+B5,2,B3,physics,RandomForest,60,40,5.179083533792442,4.15,0.9674873863636364,True
B4+B5,2,B3,physics,RandomForest,40,40,4.109541108810082,3.4168749999999988,0.9795292992424243,True
B1+B2+B4,3,B3,physics,RandomForest,100,40,5.492379664134664,4.5131250000000005,0.9634348674242424,False
B1+B2+B5,3,B3,physics,RandomForest,100,40,5.771367905444948,4.97375,0.9596258333333333,True
B1+B4+B5,3,B3,physics,RandomForest,80,40,5.49752501131191,4.6775,0.9633663257575757,True
B2+B4+B5,3,B3,physics,RandomForest,80,40,5.252215306420711,3.9643749999999995,0.9665627083333334,True
B1+B2+B4+B5,4,B3,physics,RandomForest,120,40,5.633028992025516,4.550625000000001,0.9615381628787879,True
B1+B2,2,B4,physics,RandomForest,80,20,8.728358952288799,7.5525,0.9076554545454545,False
B1+B3,2,B4,physics,RandomForest,80,20,4.178090173751638,3.6349999999999993,0.9788406818181818,False
B1+B5,2,B4,physics,RandomForest,60,20,7.3470189532898305,6.397499999999999,0.9345712878787878,True
B2+B3,2,B4,physics,RandomForest,80,20,5.601191279540452,4.34375,0.9619717045454546,False
B2+B5,2,B4,physics,RandomForest,60,20,4.740480592724749,3.786249999999999,0.9727610227272727,True
B3+B5,2,B4,physics,RandomForest,60,20,3.5736492203348655,3.0262499999999988,0.9845200378787878,True
B1+B2+B3,3,B4,physics,RandomForest,120,20,4.927559614048317,4.05375,0.9705686742424242,False
B1+B2+B5,3,B4,physics,RandomForest,100,20,6.676446472488192,5.6625000000000005,0.9459697727272727,True
B1+B3+B5,3,B4,physics,RandomForest,100,20,4.124026400254973,3.6012500000000003,0.9793847348484849,True
B2+B3+B5,3,B4,physics,RandomForest,100,20,5.301859933080089,3.86625,0.9659276136363636,True
B1+B2+B3+B5,4,B4,physics,RandomForest,140,20,4.847202801616618,4.092499999999999,0.9715207575757576,True
B1+B2,2,B5,physics,RandomForest,80,20,5.039943576073049,4.49125,0.9692108712121212,False
B1+B3,2,B5,physics,RandomForest,80,20,3.303851918594414,2.429999999999999,0.9867691666666667,False
B1+B4,2,B5,physics,RandomForest,60,20,5.879245806223788,5.128750000000001,0.9581023863636363,False
B2+B3,2,B5,physics,RandomForest,80,20,3.3356361836986954,2.2112500000000006,0.9865133712121212,False
B2+B4,2,B5,physics,RandomForest,60,20,4.02181551043804,3.3649999999999993,0.9803939393939394,False
B3+B4,2,B5,physics,RandomForest,60,20,3.349057703295063,2.6474999999999995,0.9864046212121212,False
B1+B2+B3,3,B5,physics,RandomForest,120,20,3.1689755836863123,2.38375,0.9878273863636363,False
B1+B2+B4,3,B5,physics,RandomForest,100,20,3.894792195997112,3.076250000000001,0.981612840909091,False
B1+B3+B4,3,B5,physics,RandomForest,100,20,3.224951550023659,2.2649999999999997,0.9873935606060606,False
B2+B3+B4,3,B5,physics,RandomForest,100,20,4.338137561212185,3.275,0.9771885606060606,False
B1+B2+B3+B4,4,B5,physics,RandomForest,140,20,3.5204314366281877,2.372500000000001,0.9849776515151515,False
