source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B1,1,B2,physics,RandomForest,40,40,6.237779302363943,4.8256250000000005,0.9528364962121212,False
B1,1,B3,physics,RandomForest,40,40,10.385156925872616,9.590625,0.869270928030303,False
B1,1,B4,physics,RandomForest,40,20,9.155391171326324,8.202499999999999,0.8983985606060606,False
B1,1,B5,physics,RandomForest,40,20,7.7936472527309055,7.287499999999999,0.9263746212121212,False
B2,1,B1,physics,RandomForest,40,40,8.160621912575046,6.738749999999999,0.9192778787878788,False
B2,1,B3,physics,RandomForest,40,40,7.389068149976693,6.695625,0.9338202083333333,False
B2,1,B4,physics,RandomForest,40,20,5.8220861810866396,5.04,0.9589131060606061,False
B2,1,B5,physics,RandomForest,40,20,5.068000098658247,4.0225,0.9688671212121212,False
B3,1,B1,physics,RandomForest,40,40,12.264504805535362,8.894375,0.8176750568181819,False
B3,1,B2,physics,RandomForest,40,40,7.762180951575401,6.038124999999999,0.9269679356060606,False
B3,1,B4,physics,RandomForest,40,20,4.046920125231039,3.245000000000001,0.9801484090909091,False
B3,1,B5,physics,RandomForest,40,20,4.202220395219652,2.9787500000000016,0.9785955681818181,False
B4,1,B1,physics,RandomForest,20,40,17.059493324832363,12.94875,0.6472408333333333,False
B4,1,B2,physics,RandomForest,20,40,11.204103600913372,8.36375,0.8478400757575758,False
B4,1,B3,physics,RandomForest,20,40,8.915444815038676,7.308750000000001,0.9036543560606061,False
B4,1,B5,physics,RandomForest,20,20,9.522624375664515,7.402499999999999,0.890084393939394,False
B5,1,B1,physics,RandomForest,20,40,12.973677678283826,9.5875,0.7959802272727273,True
B5,1,B2,physics,RandomForest,20,40,7.17576433211125,5.845000000000001,0.937585946969697,True
B5,1,B3,physics,RandomForest,20,40,6.514682935492716,5.191249999999999,0.94855625,True
B5,1,B4,physics,RandomForest,20,20,5.113346506936528,3.9349999999999996,0.9683075,True
