source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,n_source_samples,n_target_samples,centroid_dist,cov_fro_dist,cov_fro_dist_norm,pca_centroid_dist,pca_cov_fro_dist,pca_explained_var
B1,1,B2,physics,RandomForest,40,40,6.237779302363943,4.8256250000000005,0.9528364962121212,False,40,40,6.316742738335442,18.040970140124184,0.2661114403646516,6.304347039707002,13.308190453703116,0.8731650169459495
B1,1,B3,physics,RandomForest,40,40,10.385156925872616,9.590625,0.869270928030303,False,40,40,6.615387264654739,19.146598283718276,0.30047108693252117,6.610855004159171,13.808457866205075,0.8509884468234256
B1,1,B4,physics,RandomForest,40,20,9.155391171326324,8.202499999999999,0.8983985606060606,False,40,20,7.788445840198131,18.83934311243728,0.29212208475522655,7.776993037363827,14.507653844023764,0.8765536224980901
B1,1,B5,physics,RandomForest,40,20,7.7936472527309055,7.287499999999999,0.9263746212121212,False,40,20,7.524696575266766,56.21564260232535,0.6525871329278892,7.49172091505614,54.46123516202941,0.915812399562626
B2,1,B1,physics,RandomForest,40,40,8.160621912575046,6.738749999999999,0.9192778787878788,False,40,40,6.316742738335442,18.040970140124184,0.2661114403646516,6.304347039707002,13.308190453703116,0.8731650169459495
B2,1,B3,physics,RandomForest,40,40,7.389068149976693,6.695625,0.9338202083333333,False,40,40,4.8810515575233495,16.779048375399988,0.24407329275746398,4.771153224008965,11.193593839403789,0.8485898001205241
B2,1,B4,physics,RandomForest,40,20,5.8220861810866396,5.04,0.9589131060606061,False,40,20,6.533629530562095,20.524877998636313,0.2964819693402171,6.53087882457914,17.273890149620943,0.8701887295461107
B2,1,B5,physics,RandomForest,40,20,5.068000098658247,4.0225,0.9688671212121212,False,40,20,5.786626950006055,57.34863872589929,0.6360840383220622,5.756848056053197,54.82247114118821,0.9110082303037788
B3,1,B1,physics,RandomForest,40,40,12.264504805535362,8.894375,0.8176750568181819,False,40,40,6.615387264654739,19.146598283718276,0.30047108693252117,6.610855004159171,13.808457866205075,0.8509884468234256
B3,1,B2,physics,RandomForest,40,40,7.762180951575401,6.038124999999999,0.9269679356060606,False,40,40,4.8810515575233495,16.779048375399988,0.24407329275746398,4.771153224008965,11.193593839403789,0.8485898001205241
B3,1,B4,physics,RandomForest,40,20,4.046920125231039,3.245000000000001,0.9801484090909091,False,40,20,6.175538525440379,22.24246681901076,0.3431096783160576,6.128331597416607,18.80141818824211,0.8458984910161912
B3,1,B5,physics,RandomForest,40,20,4.202220395219652,2.9787500000000016,0.9785955681818181,False,40,20,5.779055531488689,55.45301435607752,0.6258036586783581,5.752378645553677,52.801426805160816,0.9014023261033272
B4,1,B1,physics,RandomForest,20,40,17.059493324832363,12.94875,0.6472408333333333,False,20,40,7.788445840198131,18.83934311243728,0.29212208475522655,7.776993037363827,14.507653844023764,0.8765536224980901
B4,1,B2,physics,RandomForest,20,40,11.204103600913372,8.36375,0.8478400757575758,False,20,40,6.533629530562095,20.524877998636313,0.2964819693402171,6.53087882457914,17.273890149620943,0.8701887295461107
B4,1,B3,physics,RandomForest,20,40,8.915444815038676,7.308750000000001,0.9036543560606061,False,20,40,6.175538525440379,22.24246681901076,0.3431096783160576,6.128331597416607,18.80141818824211,0.8458984910161912
