source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B2+B3+B4+B5,4,B1,raw,LinearRegression,120,40,95.5692429967954,94.84823564403345,-10.070885099370333,True
B1+B3+B4+B5,4,B2,raw,LinearRegression,120,40,27.308702881754904,25.707163075041574,0.0960421174739775,True
B1+B2+B4+B5,4,B3,raw,LinearRegression,120,40,47.14460044301796,45.571711265214184,-1.6940767890082538,True
B1+B2+B3+B5,4,B4,raw,LinearRegression,140,20,63.39134031570017,61.94310924108031,-3.870863063055652,True
B1+B2+B3+B4,4,B5,raw,LinearRegression,140,20,126.41713322680731,116.19706564934965,-18.371262513071937,False
B2+B3+B4+B5,4,B1,raw,RandomForest,120,40,9.831707316127753,8.111249999999998,0.8828333712121212,True
B1+B3+B4+B5,4,B2,raw,RandomForest,120,40,6.950345090353427,5.101875,0.9414457007575757,True
B1+B2+B4+B5,4,B3,raw,RandomForest,120,40,8.201093677065273,6.192500000000001,0.9184752272727272,True
B1+B2+B3+B5,4,B4,raw,RandomForest,140,20,5.932463653491692,5.227499999999999,0.9573404545454546,True
B1+B2+B3+B4,4,B5,raw,RandomForest,140,20,7.105163175466133,4.84375,0.9388080681818182,False
B2+B3+B4+B5,4,B1,raw,XGBoost,120,40,9.103798475466924,6.9664774417877195,0.8995404282643468,True
B1+B3+B4+B5,4,B2,raw,XGBoost,120,40,5.226385429433127,3.84554123878479,0.9668907822339504,True
B1+B2+B4+B5,4,B3,raw,XGBoost,120,40,6.158908483676518,4.929533505439759,0.9540216318663,True
B1+B2+B3+B5,4,B4,raw,XGBoost,140,20,6.112208760834261,5.345087146759033,0.9547162473502799,True
B1+B2+B3+B4,4,B5,raw,XGBoost,140,20,7.834908529672821,5.073402070999146,0.9255929797959516,False
B2+B3+B4+B5,4,B1,physics,LinearRegression,120,40,29.05043369527969,27.15286775778236,-0.022942664101626153,True
B1+B3+B4+B5,4,B2,physics,LinearRegression,120,40,52.49952254379424,48.045137665811275,-2.340848324031951,True
B1+B2+B4+B5,4,B3,physics,LinearRegression,120,40,22.035254198156956,14.863968182297532,0.4114516029364925,True
B1+B2+B3+B5,4,B4,physics,LinearRegression,140,20,34.029073183052425,30.308451396418537,-0.40360948084549997,True
B1+B2+B3+B4,4,B5,physics,LinearRegression,140,20,243.89082628940798,184.38229980464337,-71.10028502803657,False
B2+B3+B4+B5,4,B1,physics,RandomForest,120,40,9.752294601784753,6.9487499999999995,0.8847184848484848,True
B1+B3+B4+B5,4,B2,physics,RandomForest,120,40,6.372039753877874,5.101875,0.950784375,True
B1+B2+B4+B5,4,B3,physics,RandomForest,120,40,5.633028992025516,4.550625000000001,0.9615381628787879,True
B1+B2+B3+B5,4,B4,physics,RandomForest,140,20,4.847202801616618,4.092499999999999,0.9715207575757576,True
B1+B2+B3+B4,4,B5,physics,RandomForest,140,20,3.5204314366281877,2.372500000000001,0.9849776515151515,False
B2+B3+B4+B5,4,B1,physics,XGBoost,120,40,9.487593160599198,6.711642456054688,0.8908916072956986,True
B1+B3+B4+B5,4,B2,physics,XGBoost,120,40,6.091419914753016,4.809040856361389,0.9550237617238186,True
B1+B2+B4+B5,4,B3,physics,XGBoost,120,40,5.7565103492496075,4.5329687118530275,0.9598334407260389,True
B1+B2+B3+B5,4,B4,physics,XGBoost,140,20,4.524138776404063,3.5675457954406737,0.9751905070688935,True
B1+B2+B3+B4,4,B5,physics,XGBoost,140,20,4.605137819386524,3.249791145324707,0.974294188684189,False
B2+B3+B4+B5,4,B1,combined,LinearRegression,120,40,114.12357904188134,113.02380484283567,-14.786898537367927,True
B1+B3+B4+B5,4,B2,combined,LinearRegression,120,40,37.58349769896145,29.872816789267155,-0.7121446051973823,True
B1+B2+B4+B5,4,B3,combined,LinearRegression,120,40,110.72405062972062,106.8042018848502,-13.860382288306589,True
B1+B2+B3+B5,4,B4,combined,LinearRegression,140,20,86.85839311321422,78.7510563445165,-8.144703580860194,True
B1+B2+B3+B4,4,B5,combined,LinearRegression,140,20,428.7633726173849,375.95909708638766,-221.83397539179936,False
B2+B3+B4+B5,4,B1,combined,RandomForest,120,40,9.264735728826809,6.778125,0.8959571780303031,True
B1+B3+B4+B5,4,B2,combined,RandomForest,120,40,5.5346479675766185,4.313124999999999,0.9628699053030303,True
B1+B2+B4+B5,4,B3,combined,RandomForest,120,40,5.024068632592512,4.190624999999999,0.9694045265151515,True
B1+B2+B3+B5,4,B4,combined,RandomForest,140,20,4.2280129789299385,3.45625,0.9783320075757576,True
B1+B2+B3+B4,4,B5,combined,RandomForest,140,20,4.618004845168528,3.0962500000000004,0.9741503409090909,False
B2+B3+B4+B5,4,B1,combined,XGBoost,120,40,9.4475179234632,7.055085778236389,0.8918114001040505,True
B1+B3+B4+B5,4,B2,combined,XGBoost,120,40,5.605459800048665,4.372656393051147,0.9619137217333799,True
B1+B2+B4+B5,4,B3,combined,XGBoost,120,40,5.378612630956802,4.268806076049804,0.9649339711104388,True
B1+B2+B3+B5,4,B4,combined,XGBoost,140,20,5.0809176691377615,3.6058632850646974,0.9687082128962954,True
B1+B2+B3+B4,4,B5,combined,XGBoost,140,20,4.523224290186786,3.0987540245056153,0.9752005357826233,False
