source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,b5_source,source_log_volume,source_trace,source_effective_rank,source_radius95,target_containment_frac,target_mean_mahalanobis,target_p95_mahalanobis,target_mean_nn_dist,target_p95_nn_dist,centroid_dist_pca,pca_explained_variance_sum,n_pca_components
B1,1,B2,physics,RandomForest,40,40,6.237779302363943,4.8256250000000005,0.9528364962121212,False,False,3.911331168995646,33.94611036317543,3.2761521749282756,9.183408347376956,0.0,7.048162841171754,8.780447888100744,5.383485223914143,7.538854985376008,5.479912341646512,0.9831568470801868,8
B1,1,B3,physics,RandomForest,40,40,10.385156925872616,9.590625,0.869270928030303,False,False,3.8282321868416913,33.76569935746568,3.2546581209097436,9.617461277015877,0.0,9.528867141672118,12.116800844822126,6.699100836437088,9.41982151646893,6.451103336327645,0.9820918309949123,8
B1,1,B4,physics,RandomForest,40,20,9.155391171326324,8.202499999999999,0.8983985606060606,False,False,3.8821147422706694,34.00549541789006,3.27434023898961,9.570911207007297,0.0,8.35104190623413,9.603239886910112,6.08104908153573,6.996866267200176,6.686483178721725,0.9841106824747533,8
B1,1,B5,physics,RandomForest,40,20,7.7936472527309055,7.287499999999999,0.9263746212121212,False,False,2.4969986855128354,32.82515720109307,2.9998543469925947,8.087251181827682,0.0,16.04950488094638,40.72859645639407,11.884896026198286,27.566145086741987,8.945752431024246,0.98143468225013,8
B2,1,B1,physics,RandomForest,40,40,8.160621912575046,6.738749999999999,0.9192778787878788,False,False,4.41354006687177,34.21930265453672,3.542013562983105,11.485776135949218,0.0,6.683068209614308,9.14805302448693,5.084345931525843,7.690326167378251,5.479912341646515,0.9831568470801868,8
B2,1,B3,physics,RandomForest,40,40,7.389068149976693,6.695625,0.9338202083333333,False,False,4.453836783174039,34.26882378213338,3.5459901901698534,11.158994933659377,0.0,6.4553712788015405,8.083357747846067,4.848728633353393,6.09756485205908,4.2582952603262525,0.9818153577332465,8
B2,1,B4,physics,RandomForest,40,20,5.8220861810866396,5.04,0.9589131060606061,False,False,4.592803139516743,34.42300292055918,3.5774827707057106,11.466182128694987,0.0,7.984196860112197,8.382526984317822,5.7314130893921575,6.120876133238264,5.52929140177047,0.9833708851260362,8
B2,1,B5,physics,RandomForest,40,20,5.068000098658247,4.0225,0.9688671212121212,False,False,3.1629367800460084,33.44236452918913,3.308879292595869,10.139026346377987,0.0,14.842533808996222,40.50177072885601,10.705596499726408,29.878932084928845,6.851478881561844,0.9810016171142916,8
B3,1,B1,physics,RandomForest,40,40,12.264504805535362,8.894375,0.8176750568181819,False,False,6.445696877627499,38.587519217942926,4.000918039224665,10.87864191206647,0.0,7.502433928062058,9.338974985551774,6.243044497815811,7.263241580034047,6.4511033363276455,0.9820918309949122,8
B3,1,B2,physics,RandomForest,40,40,7.762180951575401,6.038124999999999,0.9269679356060606,False,False,6.627821907957897,38.80658399494472,4.034558765653283,12.263831473857909,0.0,5.387562567696378,6.851300658058227,4.7917719285653355,6.077903879345554,4.2582952603262525,0.9818153577332465,8
B3,1,B4,physics,RandomForest,40,20,4.046920125231039,3.245000000000001,0.9801484090909091,False,False,6.674988059729398,38.88521264938075,4.047611688698728,12.031333830931821,0.0,6.9044291912438736,7.307555684967115,5.7959041745211,6.203826779842609,5.347038412344354,0.9842980504908942,8
B3,1,B5,physics,RandomForest,40,20,4.202220395219652,2.9787500000000016,0.9785955681818181,False,False,5.345552647411877,37.324105215984716,3.7384802871564267,9.512876310021106,0.0,12.817917661073745,37.112630669624416,10.431531557715871,29.756797066806296,7.107374789009752,0.9739734135890332,8
B4,1,B1,physics,RandomForest,20,40,17.059493324832363,12.94875,0.6472408333333333,False,False,0.7564885769554945,25.583100186364614,2.652581081810696,9.61890756232098,0.0,9.87288620368879,12.73860106127075,6.882204859794918,9.112372519440862,6.686483178721725,0.9841106824747532,8
B4,1,B2,physics,RandomForest,20,40,11.204103600913372,8.36375,0.8478400757575758,False,False,1.0507036266637875,25.882383510091625,2.708145276324013,10.228320677653356,0.0,9.165774308613177,10.31524644710644,6.195066290414329,6.982621607040544,5.529291401770472,0.9833708851260363,8
B4,1,B3,physics,RandomForest,20,40,8.915444815038676,7.308750000000001,0.9036543560606061,False,False,1.0849994278620105,25.868715400308165,2.719599022585459,9.814691554593024,0.0,9.349086623965622,10.990688374327464,6.353844075477431,7.519580733311509,5.347038412344354,0.9842980504908944,8
B4,1,B5,physics,RandomForest,20,20,9.522624375664515,7.402499999999999,0.890084393939394,False,False,-0.2704923542314348,25.177947308595968,2.482405724974993,8.34626896527829,0.0,18.33779913379251,42.69897785599868,12.02791108612291,30.141373241441887,8.065541197504723,0.9876967067724187,8
B5,1,B1,physics,RandomForest,20,40,12.973677678283826,9.5875,0.7959802272727273,True,True,25.641222437204235,197.27414223502723,7.999999999936,37.986651239578464,1.0,2.098158374731427,3.0038998515006887,8.077827079308708,9.671233466201453,8.945752431024243,0.9814346822501301,8
B5,1,B2,physics,RandomForest,20,40,7.17576433211125,5.845000000000001,0.937585946969697,True,True,25.645082487742883,197.36935122252353,7.999999999936,37.98175122675171,1.0,1.765682584808463,2.5341009286650635,6.937564079924227,7.940124378917142,6.8514788815618415,0.9810016171142915,8
B5,1,B3,physics,RandomForest,20,40,6.514682935492716,5.191249999999999,0.94855625,True,True,25.594036308373326,196.11399165057125,7.999999999936,38.221590740643755,1.0,1.8685303328995908,2.4221268134014995,7.065725917386159,8.21299352015544,7.107374789009751,0.9739734135890336,8
B5,1,B4,physics,RandomForest,20,20,5.113346506936528,3.9349999999999996,0.9683075,True,True,25.67124258837896,198.01580786846725,7.999999999936,37.85858972787881,1.0,1.893085477293445,2.4490147920584358,7.918319046378327,8.553154942196475,8.06554119750473,0.9876967067724187,8
B1+B2,2,B3,physics,RandomForest,80,40,7.583703745532258,6.86875,0.930287803030303,False,False,5.8772153655226935,41.10630030185454,3.847911897392991,13.908336091436432,0.0,7.037449822891534,8.815379801337755,4.8053770151103,5.951901820017734,4.7293871878996825,0.974738182484141,8
B1+B2,2,B4,physics,RandomForest,80,20,8.728358952288799,7.5525,0.9076554545454545,False,False,6.09379745349774,41.2646997283985,3.887449725946037,13.956687093144208,0.0,8.272774779064175,9.07116305181938,5.584015484503703,6.099167449182591,5.4891381940925825,0.9752171449598689,8
B1+B2,2,B5,physics,RandomForest,80,20,5.039943576073049,4.49125,0.9692108712121212,False,False,4.191699495985663,40.08934746707032,3.5812735867480088,11.958337069791806,0.0,16.060689792844034,43.51549445720351,10.191507611173781,27.4458487403009,7.482256885545271,0.9636559553077658,8
B1+B3,2,B2,physics,RandomForest,80,40,5.846534764285594,4.633750000000001,0.9585673106060606,False,False,7.8356894420335115,46.24430450909725,4.2051138480000745,14.482456991836399,0.175,4.683540225740648,6.295548116854909,4.69862692031778,6.0124723338421555,3.6956239041732055,0.9747381824841409,8
B1+B3,2,B4,physics,RandomForest,80,20,4.178090173751638,3.6349999999999993,0.9788406818181818,False,False,7.9148463307909225,46.316916920456386,4.218860621722448,14.131467481024004,0.0,6.537941335213529,7.134865611627467,5.571965753006266,6.0096940633290625,5.12121049654369,0.9760009702241041,8
B1+B3,2,B5,physics,RandomForest,80,20,3.303851918594414,2.429999999999999,0.9867691666666667,False,False,6.207801063965542,44.63811945693861,3.8746811437434356,11.438185782212464,0.0,12.828648530489108,39.87057008846919,9.80464835585914,27.377504943488457,7.387835616356002,0.9596847155684545,8
B1+B4,2,B2,physics,RandomForest,60,40,5.62643731636637,4.501875,0.9616281250000001,False,False,5.5581607335547565,40.68243058301306,3.694492096977753,10.112676844600575,0.0,6.652959551510358,8.402880822549594,5.272407328928774,6.962293392267182,4.502018121665674,0.9752171449598689,8
B1+B4,2,B3,physics,RandomForest,60,40,7.606587400076331,6.7893750000000015,0.9298664583333334,False,False,5.451194575814379,40.621474212871924,3.67805742421948,10.4022048616427,0.0,7.970604303938454,10.372921063287597,6.10056780723816,7.489149691279113,5.228717676146402,0.9760009702241039,8
B1+B4,2,B5,physics,RandomForest,60,20,5.879245806223788,5.128750000000001,0.9581023863636363,False,False,3.675504426449382,39.20386591860056,3.348239472745028,9.099572915935699,0.0,15.90496278600476,42.23691149737317,11.224841289658311,27.561105422729934,8.06681276159315,0.9704247600763027,8
B1+B5,2,B2,physics,RandomForest,60,40,4.451562225780968,3.22125,0.9759801136363636,True,True,20.517752096628225,103.97604683902303,7.999999999936,14.265409329349374,1.0,1.8824266849142142,3.171415860367773,5.004626115610138,6.742729345418184,4.184751175202164,0.9636559553077659,8
B1+B5,2,B3,physics,RandomForest,60,40,7.361955625036054,6.286875,0.9343049810606061,True,True,20.501318474065897,103.76267817664778,7.999999999936,14.16230375590937,1.0,2.140071458191969,2.9810527312706756,5.968399690443927,7.365094018228617,5.170029125892721,0.9596847155684545,8
B1+B5,2,B4,physics,RandomForest,60,20,7.3470189532898305,6.397499999999999,0.9345712878787878,True,True,20.550975276360308,104.40874655741919,7.999999999936,14.550873931190912,1.0,2.0821923280218178,2.6475647267935796,5.775551222231835,6.6661981687633265,5.803265670997022,0.9704247600763025,8
B2+B3,2,B1,physics,RandomForest,80,40,10.454832913538123,7.15625,0.8675108712121212,False,False,6.901239381363482,40.70667868057591,4.139696210254929,13.297150015588937,0.0,7.159558901870514,9.410274813237434,5.003181933097959,7.061685533315921,5.592679583974831,0.9747381824841411,8
B2+B3,2,B4,physics,RandomForest,80,20,5.601191279540452,4.34375,0.9619717045454546,False,False,6.950166624245633,40.82966163998654,4.153023701858706,13.516451114327422,0.0,8.305844024788557,8.582981824494704,5.552589829017256,5.813438901511164,5.0047172634617105,0.9761029412331372,8
B2+B3,2,B5,physics,RandomForest,80,20,3.3356361836986954,2.2112500000000006,0.9865133712121212,False,False,4.680223915570489,38.96330142883718,3.7031437042696167,11.55489579829033,0.0,14.312531382951283,45.808084434183954,9.916769873076502,29.704030964651945,6.6305637240459046,0.9568235549451705,8
B2+B4,2,B1,physics,RandomForest,60,40,8.025198595673505,6.53625,0.9219347727272728,False,False,5.863323399974295,37.89092559280294,3.9539023779691345,12.520437794736592,0.0,6.753084405025686,9.525926050045399,5.0459935032687095,7.678501317650393,5.302454047842387,0.975217144959869,8
B2+B4,2,B3,physics,RandomForest,60,40,5.213259836704861,4.463125,0.967056875,False,False,5.840730939351055,37.95437929319648,3.9501710667443253,12.437338852765805,0.0,6.34970533454707,7.853034599278421,4.817920352841115,5.998178130436296,3.850110812622745,0.9761029412331373,8
B2+B4,2,B5,physics,RandomForest,60,20,4.02181551043804,3.3649999999999993,0.9803939393939394,False,False,4.032271826420979,36.44686731204531,3.58778569180055,10.704674494933796,0.0,15.1370953057837,42.908008334702984,10.474954527028194,29.881938021449272,6.788270991516652,0.965728736712866,8
B2+B5,2,B1,physics,RandomForest,60,40,7.782573682593696,6.320625000000001,0.9265836931818182,True,True,19.953830922062888,96.89911705519329,7.999999999936,13.24326981859824,0.925,2.2794534184454944,3.6792589852433206,4.8234805970060055,7.635942480971413,5.999280738047077,0.9636559553077657,8
B2+B5,2,B3,physics,RandomForest,60,40,5.179083533792442,4.15,0.9674873863636364,True,True,19.945701445524907,96.80069968143916,7.999999999936,13.21875807844338,1.0,2.059235892498933,3.1136056047932934,4.55809883570542,5.876226799612861,4.290914460578258,0.9568235549451706,8
B2+B5,2,B4,physics,RandomForest,60,20,4.740480592724749,3.786249999999999,0.9727610227272727,True,True,19.969418384340024,97.08810252462018,7.999999999936,13.264480138445494,1.0,2.1073944892223535,2.9565612293912835,5.575541876367501,5.988076852669536,5.624422113169638,0.965728736712866,8
B3+B4,2,B1,physics,RandomForest,60,40,13.946360412308294,10.161249999999999,0.76424125,False,False,7.348281116211614,40.42171192215964,4.325870753858642,13.584363199687097,0.0,7.295127432133508,9.249598151620791,6.15382905345606,7.186178963490317,6.023676239195204,0.976000970224104,8
B3+B4,2,B2,physics,RandomForest,60,40,7.0442707216574245,5.652500000000001,0.9398524242424242,False,False,7.40925946789004,40.546700213065876,4.338307367905519,13.97974807830408,0.0,5.760076573710522,7.324984719605632,4.757429159046919,6.039189345312797,3.9906316720095174,0.9761029412331375,8
B3+B4,2,B5,physics,RandomForest,60,20,3.349057703295063,2.6474999999999995,0.9864046212121212,False,False,5.378772621626136,38.50604964670929,3.875271320506792,10.362002911909277,0.0,13.408256363026968,41.59443384620819,9.950789101574477,29.736561490461558,6.987170542129599,0.9602711329209901,8
B3+B5,2,B1,physics,RandomForest,60,40,12.979962321786608,9.661875,0.795782518939394,True,True,20.20235553652098,99.9565892009019,7.999999999936,13.973624667630853,0.925,2.364778775889131,3.8566328185880936,6.078835507471832,7.15911309366262,6.570207402855526,0.9596847155684542,8
B3+B5,2,B2,physics,RandomForest,60,40,9.110947227099935,7.078125,0.8993825946969697,True,True,20.21393810354795,100.10141325202204,7.999999999936,13.9656497849886,0.975,1.8663640545564448,3.355054752246162,4.247827171259148,5.736924284338314,4.047874731706492,0.9568235549451705,8
B3+B5,2,B4,physics,RandomForest,60,20,3.5736492203348655,3.0262499999999988,0.9845200378787878,True,True,20.211690539024826,100.07329415403245,7.999999999936,14.013953376232884,1.0,2.0303613668802756,3.0427628054490987,5.425254015088872,5.614665999777895,5.4323964202479305,0.9602711329209901,8
B4+B5,2,B1,physics,RandomForest,40,40,11.720414881735204,8.108749999999999,0.8334931818181818,True,True,22.106983918084484,126.82580508608812,7.999999999936,12.790634362571875,0.95,2.1290994806248125,3.4513005697096215,6.611240890641082,9.035088047874675,6.786083454609932,0.9704247600763027,8
B4+B5,2,B2,physics,RandomForest,40,40,5.8157987950925545,4.704375000000001,0.9590017992424242,True,True,22.07345237948571,126.29533453374707,7.999999999936,12.808839501728,1.0,1.7765392125975983,3.0266413658355398,5.935771786855267,6.714836598279667,4.7368828837140855,0.9657287367128661,8
B4+B5,2,B3,physics,RandomForest,40,40,4.109541108810082,3.4168749999999988,0.9795292992424243,True,True,22.04810557792866,125.89581992130479,7.999999999936,12.869873281319379,1.0,1.8834339712425774,2.8614107311385686,5.960413847355495,7.0309405554709885,4.814594180068072,0.9602711329209902,8
B1+B2+B3,3,B4,physics,RandomForest,120,20,4.927559614048317,4.05375,0.9705686742424242,False,False,7.801301540429431,44.81538469940515,4.298701434779324,12.923601497294886,0.0,7.770557474915629,8.475312956215824,5.4413740501794985,5.785126365807945,4.963480306037415,0.9673113383727402,8
B1+B2+B3,3,B5,physics,RandomForest,120,20,3.1689755836863123,2.38375,0.9878273863636363,False,False,5.530118795289745,42.9388069897773,3.8716614595958405,12.009811587575863,0.0,13.925808284379372,46.78825077912312,9.490467975893475,27.30577045833341,6.96778632956438,0.945426521681628,8
B1+B2+B4,3,B3,physics,RandomForest,100,40,5.492379664134664,4.5131250000000005,0.9634348674242424,False,False,6.990242809849622,42.43322037913035,4.183586895239582,13.306366457633628,0.0,6.482003616076784,7.936850861461717,4.758739144418795,5.923420819423598,4.334079698735262,0.9673113383727401,8
B1+B2+B4,3,B5,physics,RandomForest,100,20,3.894792195997112,3.076250000000001,0.981612840909091,False,False,4.756097365204302,40.641661756456784,3.7558566722753617,12.137696106050116,0.0,15.249163139382308,44.57857499863078,9.949238931883718,27.451501198231576,7.259968513095311,0.949875693518823,8
B1+B2+B5,3,B3,physics,RandomForest,100,40,5.771367905444948,4.97375,0.9596258333333333,True,True,18.239484784464125,78.81759487088078,7.936932428373402,16.126256328610417,1.0,2.239381100020104,3.107559867852826,4.217926717239198,5.691657127467593,4.284582613488868,0.9454265216816283,8
