board_pair,source_to_target,reverse,feature_set,model,rmse_forward,rmse_reverse,rmse_abs_asymmetry,rmse_signed_asymmetry
B1<->B2,B1->B2,B2->B1,raw,LinearRegression,726.6645875846591,643.9221776557631,82.742409928896,82.742409928896
B1<->B3,B1->B3,B3->B1,raw,LinearRegression,396.6154900666866,55.7734029208136,340.842087145873,340.842087145873
B1<->B4,B1->B4,B4->B1,raw,LinearRegression,453.45260347017455,503.4591223020765,50.00651883190193,-50.00651883190193
B1<->B5,B1->B5,B5->B1,raw,LinearRegression,416.17259471966537,87.08173235904347,329.0908623606219,329.0908623606219
B2<->B3,B2->B3,B3->B2,raw,LinearRegression,247.02762736549624,202.17233217543316,44.85529519006309,44.85529519006309
B2<->B4,B2->B4,B4->B2,raw,LinearRegression,953.1041633202622,69.91297938032663,883.1911839399355,883.1911839399355
B2<->B5,B2->B5,B5->B2,raw,LinearRegression,399.6065257821722,47.44470619543242,352.16181958673974,352.16181958673974
B3<->B4,B3->B4,B4->B3,raw,LinearRegression,71.35737509881278,334.2237223874471,262.8663472886343,-262.8663472886343
B3<->B5,B3->B5,B5->B3,raw,LinearRegression,109.04940035105186,40.04245058004916,69.0069497710027,69.0069497710027
B4<->B5,B4->B5,B5->B4,raw,LinearRegression,1336.1203927679749,127.84396311188257,1208.2764296560922,1208.2764296560922
B1<->B2,B1->B2,B2->B1,raw,RandomForest,12.989569734021215,8.466803743148887,4.522765990872328,4.522765990872328
B1<->B3,B1->B3,B3->B1,raw,RandomForest,10.69361009551966,10.100901878050296,0.5927082174693634,0.5927082174693634
B1<->B4,B1->B4,B4->B1,raw,RandomForest,9.354340570024165,13.506149640996876,4.1518090709727105,-4.1518090709727105
B1<->B5,B1->B5,B5->B1,raw,RandomForest,17.37011801917304,11.920151005754919,5.449967013418123,5.449967013418123
B2<->B3,B2->B3,B3->B2,raw,RandomForest,8.337586206450881,7.95414593152527,0.3834402749256114,0.3834402749256114
B2<->B4,B2->B4,B4->B2,raw,RandomForest,10.372043253380694,12.031459413761905,1.6594161603812108,-1.6594161603812108
B2<->B5,B2->B5,B5->B2,raw,RandomForest,8.009868912785027,8.411801605482621,0.4019326926975939,-0.4019326926975939
B3<->B4,B3->B4,B4->B3,raw,RandomForest,8.192637701009364,12.926073456390382,4.733435755381018,-4.733435755381018
B3<->B5,B3->B5,B5->B3,raw,RandomForest,11.331904628084372,11.259086608157874,0.07281801992649761,0.07281801992649761
B4<->B5,B4->B5,B5->B4,raw,RandomForest,17.610241161040356,12.035917601080527,5.574323559959829,5.574323559959829
B1<->B2,B1->B2,B2->B1,raw,XGBoost,13.290939489699376,8.39774209153849,4.893197398160886,4.893197398160886
B1<->B3,B1->B3,B3->B1,raw,XGBoost,10.389193883782493,10.610914879980324,0.22172099619783125,-0.22172099619783125
B1<->B4,B1->B4,B4->B1,raw,XGBoost,4.798240531432968,8.17443746563536,3.376196934202393,-3.376196934202393
B1<->B5,B1->B5,B5->B1,raw,XGBoost,15.613152876171082,11.953667389043698,3.659485487127384,3.659485487127384
B2<->B3,B2->B3,B3->B2,raw,XGBoost,10.617313107840431,9.023523685145848,1.5937894226945826,1.5937894226945826
B2<->B4,B2->B4,B4->B2,raw,XGBoost,7.913237901164241,8.761325569883493,0.848087668719252,-0.848087668719252
B2<->B5,B2->B5,B5->B2,raw,XGBoost,9.17937875166176,8.629556288425867,0.549822463235893,0.549822463235893
B3<->B4,B3->B4,B4->B3,raw,XGBoost,7.762061524777552,12.571423436302664,4.809361911525112,-4.809361911525112
B3<->B5,B3->B5,B5->B3,raw,XGBoost,11.736858265949426,9.53107399547385,2.2057842704755757,2.2057842704755757
B4<->B5,B4->B5,B5->B4,raw,XGBoost,14.1029566696996,14.341587945532753,0.23863127583315347,-0.23863127583315347
B1<->B2,B1->B2,B2->B1,physics,LinearRegression,200.7607722629477,220.69711705844352,19.936344795495813,-19.936344795495813
B1<->B3,B1->B3,B3->B1,physics,LinearRegression,218.1706418827417,116.88433630692388,101.28630557581782,101.28630557581782
B1<->B4,B1->B4,B4->B1,physics,LinearRegression,337.98373260698384,92.7240488831228,245.25968372386103,245.25968372386103
B1<->B5,B1->B5,B5->B1,physics,LinearRegression,464.4545547394206,23.25028193673968,441.2042728026809,441.2042728026809
B2<->B3,B2->B3,B3->B2,physics,LinearRegression,203.88330974947053,26.134861988073723,177.7484477613968,177.7484477613968
B2<->B4,B2->B4,B4->B2,physics,LinearRegression,189.4184903912956,51.63672688732479,137.7817635039708,137.7817635039708
B2<->B5,B2->B5,B5->B2,physics,LinearRegression,382.9117962996799,39.00186932912186,343.90992697055805,343.90992697055805
B3<->B4,B3->B4,B4->B3,physics,LinearRegression,124.53773352701711,99.1738536008639,25.363879926153217,25.363879926153217
B3<->B5,B3->B5,B5->B3,physics,LinearRegression,432.71143346822527,10.482371525215449,422.2290619430098,422.2290619430098
B4<->B5,B4->B5,B5->B4,physics,LinearRegression,479.5362940920153,13.047236740257087,466.4890573517582,466.4890573517582
B1<->B2,B1->B2,B2->B1,physics,RandomForest,6.237779302363943,8.160621912575046,1.9228426102111023,-1.9228426102111023
B1<->B3,B1->B3,B3->B1,physics,RandomForest,10.385156925872616,12.264504805535362,1.8793478796627454,-1.8793478796627454
B1<->B4,B1->B4,B4->B1,physics,RandomForest,9.155391171326324,17.059493324832363,7.90410215350604,-7.90410215350604
B1<->B5,B1->B5,B5->B1,physics,RandomForest,7.7936472527309055,12.973677678283826,5.18003042555292,-5.18003042555292
B2<->B3,B2->B3,B3->B2,physics,RandomForest,7.389068149976693,7.762180951575401,0.3731128015987073,-0.3731128015987073
B2<->B4,B2->B4,B4->B2,physics,RandomForest,5.8220861810866396,11.204103600913372,5.382017419826733,-5.382017419826733
B2<->B5,B2->B5,B5->B2,physics,RandomForest,5.068000098658247,7.17576433211125,2.1077642334530022,-2.1077642334530022
B3<->B4,B3->B4,B4->B3,physics,RandomForest,4.046920125231039,8.915444815038676,4.868524689807637,-4.868524689807637
B3<->B5,B3->B5,B5->B3,physics,RandomForest,4.202220395219652,6.514682935492716,2.3124625402730636,-2.3124625402730636
B4<->B5,B4->B5,B5->B4,physics,RandomForest,9.522624375664515,5.113346506936528,4.409277868727987,4.409277868727987
B1<->B2,B1->B2,B2->B1,physics,XGBoost,8.206959074910436,9.704781088817027,1.4978220139065908,-1.4978220139065908
B1<->B3,B1->B3,B3->B1,physics,XGBoost,8.351515072961883,14.521983704097591,6.170468631135709,-6.170468631135709
B1<->B4,B1->B4,B4->B1,physics,XGBoost,6.334062547259945,9.98150098608702,3.6474384388270753,-3.6474384388270753
B1<->B5,B1->B5,B5->B1,physics,XGBoost,10.1779534423791,12.801053104156694,2.6230996617775943,-2.6230996617775943
B2<->B3,B2->B3,B3->B2,physics,XGBoost,6.691107313804964,12.044486793806882,5.3533794800019185,-5.3533794800019185
B2<->B4,B2->B4,B4->B2,physics,XGBoost,7.787581374721209,8.142381333822277,0.35479995910106776,-0.35479995910106776
B2<->B5,B2->B5,B5->B2,physics,XGBoost,4.874445600064501,8.105635924069558,3.2311903240050572,-3.2311903240050572
B3<->B4,B3->B4,B4->B3,physics,XGBoost,14.533674018117312,17.114727145825984,2.581053127708673,-2.581053127708673
B3<->B5,B3->B5,B5->B3,physics,XGBoost,9.031178600886948,19.758174644388692,10.726996043501744,-10.726996043501744
B4<->B5,B4->B5,B5->B4,physics,XGBoost,5.738291714532355,10.999674051106558,5.2613823365742025,-5.2613823365742025
B1<->B2,B1->B2,B2->B1,combined,LinearRegression,195.9336503547243,76.57182022350993,119.36183013121438,119.36183013121438
