source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B1,1,B2,raw,LinearRegression,40,40,726.6645875846591,721.1146686433788,-639.0502095146456,False
B1,1,B3,raw,LinearRegression,40,40,396.6154900666866,369.56617934600115,-189.6713296495006,False
B1,1,B4,raw,LinearRegression,40,20,453.45260347017455,436.41714656943407,-248.23547102288404,False
B1,1,B5,raw,LinearRegression,40,20,416.17259471966537,368.62754930469623,-208.93894375236226,False
B2,1,B1,raw,LinearRegression,40,40,643.9221776557631,637.4409192942161,-501.5888131841699,False
B2,1,B3,raw,LinearRegression,40,40,247.02762736549624,211.61528207795283,-72.96684688706239,False
B2,1,B4,raw,LinearRegression,40,20,953.1041633202622,952.8448181725028,-1100.100055925354,False
B2,1,B5,raw,LinearRegression,40,20,399.6065257821722,339.7054280969021,-192.55803084569436,False
B3,1,B1,raw,LinearRegression,40,40,55.7734029208136,46.36794318291156,-2.770512088930205,False
B3,1,B2,raw,LinearRegression,40,40,202.17233217543316,177.07146143225407,-48.543820481519624,False
B3,1,B4,raw,LinearRegression,40,20,71.35737509881278,59.87889527991382,-5.171969673930505,False
B3,1,B5,raw,LinearRegression,40,20,109.04940035105186,83.1274772755703,-13.414268747786654,False
B4,1,B1,raw,LinearRegression,20,40,503.4591223020765,483.2695163354879,-306.2376822171845,False
B4,1,B2,raw,LinearRegression,20,40,69.91297938032663,44.58742842457936,-4.924635982829063,False
B4,1,B3,raw,LinearRegression,20,40,334.2237223874471,200.57095753997618,-134.40060194729853,False
B4,1,B5,raw,LinearRegression,20,20,1336.1203927679749,1261.3455002625449,-2162.9002472369057,False
B5,1,B1,raw,LinearRegression,20,40,87.08173235904347,84.33980121240606,-8.191791649275245,True
B5,1,B2,raw,LinearRegression,20,40,47.44470619543242,45.842622423096714,-1.728485025419276,True
B5,1,B3,raw,LinearRegression,20,40,40.04245058004916,37.72524416712156,-0.9435125435826419,True
B5,1,B4,raw,LinearRegression,20,20,127.84396311188257,127.34435965661359,-18.81100473230593,True
B1,1,B2,raw,RandomForest,40,40,12.989569734021215,9.828124999999998,0.7954800946969698,False
B1,1,B3,raw,RandomForest,40,40,10.69361009551966,7.318125,0.8613899431818182,False
B1,1,B4,raw,RandomForest,40,20,9.354340570024165,8.17,0.8939349242424242,False
