shots_per_concentration,method,regime,n,rmse
0,day2_zero_shot_rf,low,8,0.5921278197638336
0,day2_zero_shot_rf,medium,6,2.9993386030462683
0,day2_zero_shot_rf,high,6,11.217282944735661
0,saturation_residual_linear,low,8,1.7390729974591783
0,saturation_residual_linear,medium,6,3.1738267444498183
0,saturation_residual_linear,high,6,8.72473230404422
0,saturation_residual_quadratic,low,8,1.4368292469058788
0,saturation_residual_quadratic,medium,6,3.0250308325120967
0,saturation_residual_quadratic,high,6,8.843624756097357
0,regime_split_rf_by_predicted_regime,low,8,1.1529852557600215
0,regime_split_rf_by_predicted_regime,medium,6,6.850969166091696
0,regime_split_rf_by_predicted_regime,high,6,12.65127621746342
1,day2_zero_shot_rf,low,4,0.4247389357949756
1,day2_zero_shot_rf,medium,3,3.1751661303101115
1,day2_zero_shot_rf,high,3,7.785485448529865
1,day3_like_mean_std_alignment,low,4,0.7435369676231446
1,day3_like_mean_std_alignment,medium,3,1.9675293943876626
1,day3_like_mean_std_alignment,high,3,5.421465224935531
1,robust_median_iqr_alignment,low,4,6.074074003500451
1,robust_median_iqr_alignment,medium,3,2.674281892765858
1,robust_median_iqr_alignment,high,3,7.985917292334056
1,high_regime_mean_std_alignment,low,4,3.448864771178562
1,high_regime_mean_std_alignment,medium,3,2.579735168402891
1,high_regime_mean_std_alignment,high,3,3.639783828258568
1,source_plus_b5_1shot_rf,low,4,0.27109403407054483
1,source_plus_b5_1shot_rf,medium,3,3.9947515110171237
1,source_plus_b5_1shot_rf,high,3,6.147353576360992
1,global_linear_recalibration,low,4,1.3521786497597228
1,global_linear_recalibration,medium,3,5.356423502202818
1,global_linear_recalibration,high,3,3.5126727641656332
1,piecewise_linear_recalibration,low,4,1.9327730022146594
1,piecewise_linear_recalibration,medium,3,4.423795375773549
1,piecewise_linear_recalibration,high,3,3.3115540209674696
1,saturation_residual_linear,low,4,1.6840180327578613
1,saturation_residual_linear,medium,3,3.5946245852201755
1,saturation_residual_linear,high,3,4.418955364056359
1,saturation_residual_quadratic,low,4,1.2565020478335258
1,saturation_residual_quadratic,medium,3,3.713028054208227
1,saturation_residual_quadratic,high,3,3.534174647941537
1,regime_split_rf_by_predicted_regime,low,4,0.7105174659671964
1,regime_split_rf_by_predicted_regime,medium,3,8.78103952232265
1,regime_split_rf_by_predicted_regime,high,3,7.536373986896495
