feature,dtype,is_forbidden,non_null_count,std
duration_s,float64,False,160,0.008569912264803138
n_points,int64,False,160,4359.185060619471
s1_phys_baseline_mean,float64,False,160,3.531607989555487
s1_phys_derivative_max,float64,False,160,39.40325758991671
s1_phys_derivative_mean,float64,False,160,0.008863189490177246
s1_phys_derivative_min,float64,False,160,13.217920296314935
s1_phys_derivative_std,float64,False,160,0.4146140859466609
s1_phys_minimum_response,float64,False,160,5.177162990604923
s1_phys_normalized_response,float64,False,160,0.12860612515166964
s1_phys_recovery_slope,float64,False,160,0.003145074886757528
s1_phys_response_magnitude,float64,False,160,5.404032057455904
s1_phys_rs_r0_final,float64,False,160,0.021538700501930845
s1_phys_rs_r0_min,float64,False,160,0.12860612515166964
s1_raw_early_mean,float64,False,160,3.531607989555487
s1_raw_final,float64,False,160,3.5319364594089016
s1_raw_late_mean,float64,False,160,3.5288612395910346
s1_raw_max,float64,False,160,3.609072381539151
s1_raw_mean,float64,False,160,3.318402938650341
s1_raw_median,float64,False,160,3.7495055643646213
s1_raw_min,float64,False,160,5.177162990604923
s1_raw_q10,float64,False,160,5.623114262750641
s1_raw_q90,float64,False,160,3.542388045660404
s1_raw_std,float64,False,160,2.1076968833065663
s2_phys_baseline_mean,float64,False,160,2.7485369971541322
s2_phys_derivative_max,float64,False,160,20.79009221693824
s2_phys_derivative_mean,float64,False,160,0.004337828037355066
s2_phys_derivative_min,float64,False,160,4.918459419928498
s2_phys_derivative_std,float64,False,160,0.1739693256759027
s2_phys_minimum_response,float64,False,160,2.9619670652186953
s2_phys_normalized_response,float64,False,160,0.12120720466592894
s2_phys_recovery_slope,float64,False,160,0.001671022585279179
s2_phys_response_magnitude,float64,False,160,3.0043388612993023
s2_phys_rs_r0_final,float64,False,160,0.016916017359333152
s2_phys_rs_r0_min,float64,False,160,0.12120720466592894
s2_raw_early_mean,float64,False,160,2.7485369971541322
s2_raw_final,float64,False,160,2.7306426087285343
s2_raw_late_mean,float64,False,160,2.7238846071783525
s2_raw_max,float64,False,160,2.7626701482932123
s2_raw_mean,float64,False,160,2.508051898666741
s2_raw_median,float64,False,160,2.7496324447050817
