feature,source_between_board_cv_median,monotonicity_abs_spearman,board_invariant_score,b1_deviation_from_source_median,b5_deviation_from_source_median,b1_high_conc_deviation,b5_high_conc_deviation,b1_specific_failure_score
s2_phys_rs_r0_min,0.03534974644601309,0.9999999999999999,0.9658571931201448,0.04068460065797472,0.04607698741689949,0.02696757943456102,0.04645808188124503,-0.005392386758924769
s2_phys_normalized_response,0.040797138038831185,0.9999999999999999,0.9608020270734937,0.0498492331273821,0.056456311489006636,0.033042309187594855,0.056923251473410395,-0.006607078361624538
s1_phys_normalized_response,0.04391803636332571,0.9999999999999999,0.957929612447044,0.031337557093651165,0.01986513638511591,0.033829542443891,0.03030751570014321,0.011472420708535255
s1_phys_rs_r0_min,0.049541594120474326,0.9999999999999999,0.9527969216293988,0.038047442874314906,0.0241185884255254,0.04107300322586166,0.03679685269714983,0.013928854448789506
s2_phys_minimum_response,0.06043393500670527,0.9999999999999999,0.9430101838392004,0.08519058529473034,0.17829618829410526,0.07456779837533843,0.15871693397208922,-0.09310560299937493
s1_phys_minimum_response,0.0764184708444795,0.9999999999999999,0.9290067265526136,0.024841915085817554,0.13700692562481176,0.022583559168925023,0.11080999698885877,-0.1121650105389942
s1_raw_min,0.0764184708444795,0.9999999999999999,0.9290067265526136,0.024841915085817554,0.13700692562481176,0.022583559168925023,0.11080999698885877,-0.1121650105389942
s1_raw_q10,0.0764589973207149,0.9999999999999999,0.9289717513523321,0.029324203632033276,0.14194700803810634,0.022030366180410897,0.1457576659720151,-0.11262280440607306
s2_raw_mean,0.08736038039433014,0.9757575757575757,0.8973635543017653,0.09134221196754891,0.16370681202677861,0.08166679791694742,0.17416764988508032,-0.0723646000592297
s1_phys_response_magnitude,0.1392696205339068,0.9999999999999999,0.8777553460359633,0.04131054650685358,0.01913857957269875,0.06169511135397252,0.10348777398837601,0.022171966934154828
s2_phys_response_magnitude,0.14449463888172068,0.9999999999999999,0.8737480858600563,0.0879516243935372,0.12469289730206123,0.08687761898548461,0.1833483869656085,-0.03674127290852404
s1_raw_std,0.14540559904655675,0.9878787878787878,0.8624707166623811,0.023160010119332268,0.02706798860256024,0.016307594769015294,0.03602595361714606,-0.003907978483227971
s1_raw_mean,0.10707797673136198,0.9030303030303028,0.8156880743816185,0.027761952741214752,0.07136210789092184,0.032656175637547316,0.09573056387848054,-0.043600155149707095
s2_phys_derivative_std,0.11762086450866927,0.7333333333333332,0.656155729211196,0.14817541912462473,0.1866452795677509,0.14615267643660534,0.19270407413194646,-0.03846986044312617
s1_phys_derivative_std,0.03451079249591987,0.6727272727272726,0.6502854079503727,0.007867695296902231,0.3255376573235933,0.0026403300426891614,0.34696214656459057,-0.31766996202669107
s1_raw_max,0.1092548107683944,0.705170430668875,0.6357154585431951,0.026546970182750797,0.06758576466816282,0.024879769156780994,0.07233087528053865,-0.041038794485412027
s2_phys_derivative_max,0.11920575227891331,0.6727272727272726,0.6010756032637192,0.09376693766883512,0.3170731707345964,0.14634146341137788,1.3562976860562053,-0.22330623306576128
s1_phys_derivative_max,0.0800719854890938,0.6363636363636362,0.5891863180540404,0.08163265305938353,0.40646258503686433,0.10204081632796484,0.9088435374136328,-0.3248299319774808
s2_raw_median,0.0907429428542816,0.4559291577600484,0.41799872348196204,0.08966169860421101,0.1669032410693163,0.08776910338301398,0.17080671871303524,-0.0772415424651053
