feature,board,n,linear_intercept,linear_gain_slope,linear_r2,quadratic_intercept,quadratic_gain,quadratic_curvature,quadratic_r2,high_conc_mean_residual_quad,high_conc_abs_residual_quad
s2_phys_minimum_response,B1,40,15.6355,-0.07592272727272727,0.8959201393247741,17.164875000000002,-0.15239147727272723,0.0006951704545454538,0.9439917068966143,-0.0027007575757584945,0.23496401515151502
s2_phys_minimum_response,B2,40,18.694666666666667,-0.09581212121212118,0.8209962916217732,20.905708333333333,-0.20636420454545448,0.001005018939393939,0.8788097235801497,0.012748737373734572,0.6983333333333334
s2_phys_minimum_response,B3,40,17.397,-0.08704090909090906,0.7323192380086873,19.334916666666665,-0.18393674242424238,0.000880871212121212,0.7803211365296424,0.028941919191917947,0.840529040404041
s2_phys_minimum_response,B4,20,17.245333333333335,-0.0846878787878788,0.9381887917009861,19.04616666666667,-0.17472954545454555,0.0008185606060606063,0.9942844674614382,-0.0004191919191898208,0.11907575757575639
s2_phys_minimum_response,B5,20,20.178000000000008,-0.09709090909090913,0.8979782358042805,22.33008333333335,-0.20469507575757603,0.0009782196969696988,0.9563175683919544,0.008679292929287522,0.6549999999999999
s2_phys_rs_r0_min,B1,40,0.8301554602774567,-0.004054701113569545,0.900311597354492,0.9117881032931642,-0.008136333264354915,3.710574682532154e-05,0.9485660595746583,4.544504819719205e-05,0.026285611466539172
s2_phys_rs_r0_min,B2,40,0.78399219181955,-0.004011191280457946,0.9221305244342286,0.8706694813988879,-0.00834505575942483,3.939876799060804e-05,0.9790670432603021,0.0007358093881263683,0.012470162948996971
s2_phys_rs_r0_min,B3,40,0.7990003340996711,-0.003955005626504165,0.9278424824053431,0.8868159903887264,-0.008345788440956927,3.9916207404116006e-05,0.9883289966007623,0.0003810981123276112,0.009721604675328338
s2_phys_rs_r0_min,B4,20,0.8230762694687632,-0.004025770765196716,0.9357652569027688,0.911463237626452,-0.00844511917308115,4.0175894617131197e-05,0.9954110639970134,-0.0005520589886895041,0.003938297927274533
s2_phys_rs_r0_min,B5,20,0.8182821773699318,-0.003835681416635171,0.9203143315891479,0.900588581410583,-0.007951001618667726,3.741200183665957e-05,0.9763485084068351,0.0020051195368048593,0.018199885994067633
s2_phys_normalized_response,B1,40,0.16984453972254318,0.004054701113569545,0.9003115973544921,0.08821189670683577,0.008136333264354914,-3.710574682532152e-05,0.9485660595746583,-4.544504819717817e-05,0.02628561146653916
